group,n,mean,median,std,q25,q75
central_memory,430,0.7050722328139535,0.7418534,0.15266348437232846,0.57372869,0.8233061399999999
other,1668,0.6078305961950992,0.7441286149999999,0.3350331520797816,0.45856391750000003,0.8535926549999999
