metric,without_hsr_mean,learned_hsr_mean,mean_difference,difference_ci_low,difference_ci_high,n_pairs
ece,0.06703705881380667,0.06608706149600001,-0.0009499973178066611,-0.005892544051221308,0.003992549415607985,10
brier,0.14225323337263845,0.1423677050906398,0.00011447171800133549,-0.0009981870097464896,0.0012271304457491608,10
nll,0.43491801146552067,0.4381669975276032,0.0032489860620825207,-0.006886137292916894,0.013384109417081935,10
