metric,mosaic_mean,mlp_mean,mean_difference,difference_ci_low,difference_ci_high,paired_t_pvalue,n_pairs,supports_positive_difference_95
ACC,0.8589924024489193,0.8553072213616582,0.0036851810872611615,0.0006823104933726684,0.0066880516811496545,0.03404498885647698,3,True
W-F1,0.8550321138649141,0.8513503448582833,0.003681769006630642,0.0007571974993790189,0.006606340513882265,0.032434013900894565,3,True
M-F1,0.6470923590069703,0.6411033145541464,0.005989044452823888,-0.05505480371757978,0.06703289262322756,0.713975517361844,3,False
