metric,base_mean,hsr_mean,mean_difference,difference_ci_low,difference_ci_high,paired_t_pvalue,n_pairs
ACC,0.8550370772291553,0.852233676975945,-0.002803400253210353,-0.017105091045272778,0.011498290538852072,0.4877956830001694,3
W-F1,0.8527819275085685,0.8499823089506627,-0.002799618557905966,-0.017030891844684624,0.01143165472887269,0.4864402845832607,3
M-F1,0.6752117162060367,0.6778875466814497,0.0026758304754129028,-0.057532080663582646,0.06288374161440845,0.8660039365851923,3
