donor,n_eval,n_accepted,n_fallback,accept_rate,l3_accuracy_all,accepted_l3_accuracy,parent_safe_rate,unsafe_wrong_parent_rate,fallback_l1_error_rate_raw,mean_confidence
P1,7160,7160,0,1.0,0.6790502793296089,0.6790502793296089,0.8849162011173184,0.11508379888268161,,0.36870042448048895
P2,4667,4667,0,1.0,0.7343046925219627,0.7343046925219627,0.894578958645811,0.10542104135418895,,0.3669943237764582
P3,5407,5407,0,1.0,0.7105603846865175,0.7105603846865175,0.8966154984279637,0.10338450157203627,,0.36580206895459677
P4,9006,9006,0,1.0,0.6718854097268487,0.6718854097268487,0.8497668221185876,0.15023317788141244,,0.36731423941129604
P5,5228,5228,0,1.0,0.7846212700841622,0.7846212700841622,0.9265493496557001,0.07345065034429987,,0.3682253148225181
P6,4746,4746,0,1.0,0.7884534344711336,0.7884534344711336,0.9365781710914455,0.06342182890855452,,0.36676758107975554
P7,6169,6169,0,1.0,0.7750040525206678,0.7750040525206678,0.9264062246717458,0.07359377532825417,,0.3712942865880693
P8,6764,6764,0,1.0,0.7417208752217622,0.7417208752217622,0.9005026611472502,0.0994973388527498,,0.36747102879871113
