method,metric,n_seeds,mean,sd,ci95_low,ci95_high,ci95_margin
learned_hsr,accuracy,10,0.9208533333333333,0.0009479282152328904,0.9201752263382191,0.9215314403284475,0.0006781069951141444
learned_hsr,weighted_f1,10,0.9199991165752852,0.0009291291092665344,0.9193344576504499,0.9206637755001206,0.0006646589248353775
learned_hsr,macro_f1,10,0.8436985495228972,0.007195140409226417,0.8385514561418587,0.8488456429039358,0.005147093381038533
without_hsr,accuracy,10,0.9199733333333333,0.0013042002421426058,0.9190403646833716,0.920906301983295,0.00093296864996173
without_hsr,weighted_f1,10,0.9190333875280414,0.0012430153012003727,0.918144187948123,0.9199225871079598,0.0008891995799184033
without_hsr,macro_f1,10,0.84313455831363,0.0035075369318502627,0.8406254175465473,0.8456436990807128,0.0025091407670827823
