target_label,seed,score,known_coverage_target,threshold,known_test_coverage,known_false_reject_rate,unknown_recall,unknown_auroc,unknown_auprc,known_accepted_l3_accuracy,known_rejected_parent_accuracy,unknown_rejected_parent_accuracy,unknown_parent_safe_rate,known_accepted_l3_risk,known_hierarchical_accuracy,unknown_hierarchical_accuracy,combined_hierarchical_accuracy,unknown_unsafe_accept_rate,n_val_known,n_test_known,n_test_unknown
gdT_2,41,one_minus_max_probability,0.95,0.3584292531013489,0.9462419670298966,0.053758032970103384,0.3379073756432247,0.6934693372862568,0.13887908587991638,0.9346246973365617,0.764033264033264,0.15736040609137056,0.05317324185248713,0.06537530266343827,0.9254540374406258,0.05317324185248713,0.8979326766966121,0.6620926243567753,9942,17895,583
gdT_2,41,one_minus_max_probability,0.8,0.20891481637954712,0.8097233864207879,0.19027661357921208,0.49914236706689535,0.6934693372862568,0.13887908587991638,0.9410628019323671,0.8963289280469897,0.12714776632302405,0.0634648370497427,0.05893719806763287,0.9325509918971779,0.0634648370497427,0.9051304253707111,0.5008576329331046,9942,17895,583
gdT_2,41,one_minus_margin,0.95,0.5321967601776123,0.9450125733445096,0.05498742665549036,0.30360205831903947,0.7023027887567893,0.10483816183923379,0.93513097983561,0.7774390243902439,0.15819209039548024,0.048027444253859346,0.06486902016439,0.9264599050013971,0.048027444253859346,0.898744452862864,0.6963979416809606,9942,17895,583
gdT_2,41,one_minus_margin,0.8,0.22575640678405762,0.8058116792400112,0.19418832075998882,0.5420240137221269,0.7023027887567893,0.10483816183923379,0.9485436893203884,0.8874820143884892,0.12341772151898735,0.06689536878216124,0.05145631067961165,0.9366862252025705,0.06689536878216124,0.9092434246130534,0.45797598627787306,9942,17895,583
gdT_2,41,energy,0.95,-4.69357442855835,0.9455155071248952,0.054484492875104776,0.4734133790737564,0.7242876662367719,0.2002722275747881,0.9339243498817967,0.7282051282051282,0.13768115942028986,0.06518010291595197,0.06607565011820327,0.9227158424140821,0.06518010291595197,0.8956597034311072,0.5265866209262435,9942,17895,583
gdT_2,41,energy,0.8,-5.0005364418029785,0.8186644314054206,0.1813355685945795,0.5591766723842195,0.7242876662367719,0.2002722275747881,0.9378839590443686,0.8946070878274268,0.1196319018404908,0.06689536878216124,0.06211604095563139,0.9300363229952501,0.06689536878216124,0.9028033336941227,0.44082332761578047,9942,17895,583
gdT_2,42,one_minus_max_probability,0.95,0.29656314849853516,0.9418273260687343,0.05817267393126572,0.38593481989708406,0.6681397632559283,0.15278265005238983,0.9375815830070013,0.733909702209414,0.17777777777777778,0.0686106346483705,0.06241841699299866,0.9257334450963957,0.0686106346483705,0.8986903344517805,0.614065180102916,9942,17895,583
gdT_2,42,one_minus_max_probability,0.8,0.1909956932067871,0.7944118468846046,0.20558815311539536,0.5265866209262435,0.6681397632559283,0.15278265005238983,0.9377462014631401,0.9075835824952433,0.14332247557003258,0.07547169811320754,0.06225379853685986,0.9315451243364068,0.07547169811320754,0.9045351228487931,0.4734133790737564,9942,17895,583
gdT_2,42,one_minus_margin,0.95,0.4080702066421509,0.9410449846325789,0.058955015367421065,0.35334476843910806,0.6747218024717273,0.12249184896110915,0.9375890736342043,0.7469194312796209,0.18446601941747573,0.06518010291595197,0.062410926365795705,0.9263481419390891,0.06518010291595197,0.8991774001515316,0.6466552315608919,9942,17895,583
gdT_2,42,one_minus_margin,0.8,0.20512008666992188,0.7929030455434479,0.2070969544565521,0.5454545454545454,0.6747218024717273,0.12249184896110915,0.9417858904785397,0.9028602266594711,0.13836477987421383,0.07547169811320754,0.05821410952146033,0.933724504051411,0.07547169811320754,0.9066457408810478,0.45454545454545453,9942,17895,583
