method,rna_transform,test_donor,seed,accuracy,weighted_f1,macro_f1,device,source_path
MOSAIC,log1p,P2,43,0.9183376925312408,0.9169782774928308,0.8245633984035485,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P2/mosaic_full_seed43/results_summary.csv
MOSAIC,log1p,P3,41,0.903888130968622,0.9006726921511017,0.7985879566133259,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P3/mosaic_full_seed41/results_summary.csv
MOSAIC,log1p,P3,42,0.906343792633015,0.9010726565903407,0.7862420370465021,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P3/mosaic_full_seed42/results_summary.csv
MOSAIC,log1p,P3,43,0.9068212824010914,0.9018462620456904,0.7828311948477107,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P3/mosaic_full_seed43/results_summary.csv
MOSAIC,log1p,P4,41,0.916208308952604,0.9163462995726416,0.7822061189762317,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P4/mosaic_full_seed41/results_summary.csv
MOSAIC,log1p,P4,42,0.9091281451141018,0.9110119627729432,0.7724201325666772,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P4/mosaic_full_seed42/results_summary.csv
MOSAIC,log1p,P4,43,0.9139847864248098,0.9159067479502052,0.7828629614514736,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P4/mosaic_full_seed43/results_summary.csv
MOSAIC,log1p,P5,41,0.914997019852368,0.9152046901090144,0.8331664537456858,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P5/mosaic_full_seed41/results_summary.csv
MOSAIC,log1p,P5,42,0.9171977442574848,0.9178794523866678,0.8358065688222726,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P5/mosaic_full_seed42/results_summary.csv
MOSAIC,log1p,P5,43,0.9087157856127642,0.9075548020851638,0.8230933845428458,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P5/mosaic_full_seed43/results_summary.csv
MOSAIC,log1p,P6,41,0.9086394754604185,0.9057352030768951,0.8017059079841766,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P6/mosaic_full_seed41/results_summary.csv
MOSAIC,log1p,P6,42,0.9069038665509594,0.9046958568366724,0.781618937564248,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P6/mosaic_full_seed42/results_summary.csv
MOSAIC,log1p,P6,43,0.910037604859705,0.9062282487213874,0.7896334694724966,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P6/mosaic_full_seed43/results_summary.csv
MOSAIC,log1p,P7,41,0.9194464844806928,0.9185873551531232,0.8033932853658062,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P7/mosaic_full_seed41/results_summary.csv
MOSAIC,log1p,P7,42,0.9183255382474586,0.9169906927708672,0.8209738132660545,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P7/mosaic_full_seed42/results_summary.csv
MOSAIC,log1p,P7,43,0.9171659386958372,0.916606935392932,0.8246446260673931,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P7/mosaic_full_seed43/results_summary.csv
MOSAIC,log1p,P8,41,0.907847619047619,0.9066621280997113,0.8177673598433657,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P8/mosaic_full_seed41/results_summary.csv
MOSAIC,log1p,P8,42,0.9109333333333334,0.909610912335332,0.8266737968776542,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P8/mosaic_full_seed42/results_summary.csv
MOSAIC,log1p,P8,43,0.9087619047619048,0.9073561379482886,0.8176463109081971,cuda,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P8/mosaic_full_seed43/results_summary.csv
