method,modality,hidden_dims,label_smoothing,n_train,n_val,n_test,n_genes,n_proteins,n_features,n_classes,runtime_seconds,best_epoch,best_val_accuracy,best_val_weighted_f1,best_val_macro_f1,best_val_balanced_accuracy,best_accuracy_seen,best_weighted_f1_seen,selection_metric,selection_acc_tolerance,selection_weighted_tolerance,selection_constraint_penalty,class_weight_mode,class_weight_max,class_weights,device,test_loss,test_accuracy,test_weighted_f1,test_macro_f1,test_balanced_accuracy,test_donor,seed,run_dir
MLP_matched_sqrt_balanced_constraint_macro,both,"704,256",0.03,126424,17205,18135,3000,224,3224,58,89.48430242203176,27,0.9141528625399592,0.9136915044818028,0.8178836749526828,0.8208801235916515,0.9153153153153152,0.91520191102842,constraint_macro,0.0015,0.0015,2.0,sqrt_balanced,5.0,"[3.3151767253875732, 3.5990231037139893, 0.6071081757545471, 0.5499890446662903, 0.44063112139701843, 0.5591581463813782, 0.3051083981990814, 0.38744956254959106, 0.10083659738302231, 0.27473685145378113, 0.6130557656288147, 0.17397259175777435, 2.244385242462158, 0.2560255527496338, 0.9303719997406006, 0.26951494812965393, 0.5171705484390259, 1.0420544147491455, 0.44788286089897156, 2.1563355922698975, 0.22687795758247375, 1.2293003797531128, 2.292656898498535, 0.7147175669670105, 0.5499890446662903, 1.0023283958435059, 0.42467591166496277, 0.4177734851837158, 1.1125763654708862, 0.36342379450798035, 0.5018597841262817, 0.8150181770324707, 0.9359732866287231, 2.807919979095459, 2.030122756958008, 1.9044240713119507, 0.3804285526275635, 0.9270591139793396, 0.3193167448043823, 0.21610507369041443, 0.4460363984107971, 0.5572398900985718, 0.705826461315155, 1.32687509059906, 4.1557936668396, 0.4162737727165222, 0.6940106749534607, 0.8603310585021973, 1.724184513092041, 0.7504481673240662, 0.5100728869438171, 2.2138478755950928, 2.0186853408813477, 0.5913903713226318, 0.6972591876983643, 0.791451632976532, 0.8860182166099548, 0.6917179226875305]",unknown,0.4665886099341161,0.9140887786049076,0.9135537493914352,0.8232493493564305,0.8257393696398264,P1,41,results/exp_generalization/v7_mlp_large_pbmc_nested/test_P1/mlp_matched_seed41
MLP_matched_sqrt_balanced_constraint_macro,both,"704,256",0.03,126424,17205,18135,3000,224,3224,58,84.86926786415279,25,0.9142109851787272,0.9138167118112548,0.8146347080507849,0.8196607786681698,0.9154896832316188,0.914500955769948,constraint_macro,0.0015,0.0015,2.0,sqrt_balanced,5.0,"[3.3151767253875732, 3.5990231037139893, 0.6071081757545471, 0.5499890446662903, 0.44063112139701843, 0.5591581463813782, 0.3051083981990814, 0.38744956254959106, 0.10083659738302231, 0.27473685145378113, 0.6130557656288147, 0.17397259175777435, 2.244385242462158, 0.2560255527496338, 0.9303719997406006, 0.26951494812965393, 0.5171705484390259, 1.0420544147491455, 0.44788286089897156, 2.1563355922698975, 0.22687795758247375, 1.2293003797531128, 2.292656898498535, 0.7147175669670105, 0.5499890446662903, 1.0023283958435059, 0.42467591166496277, 0.4177734851837158, 1.1125763654708862, 0.36342379450798035, 0.5018597841262817, 0.8150181770324707, 0.9359732866287231, 2.807919979095459, 2.030122756958008, 1.9044240713119507, 0.3804285526275635, 0.9270591139793396, 0.3193167448043823, 0.21610507369041443, 0.4460363984107971, 0.5572398900985718, 0.705826461315155, 1.32687509059906, 4.1557936668396, 0.4162737727165222, 0.6940106749534607, 0.8603310585021973, 1.724184513092041, 0.7504481673240662, 0.5100728869438171, 2.2138478755950928, 2.0186853408813477, 0.5913903713226318, 0.6972591876983643, 0.791451632976532, 0.8860182166099548, 0.6917179226875305]",unknown,0.4602753637972238,0.9129859387923904,0.9125689470873712,0.7982495893032963,0.8207793387681557,P1,42,results/exp_generalization/v7_mlp_large_pbmc_nested/test_P1/mlp_matched_seed42
MLP_matched_sqrt_balanced_constraint_macro,both,"704,256",0.03,126424,17205,18135,3000,224,3224,58,82.47522304207087,30,0.9173496076721884,0.9165342982907624,0.8229181964957056,0.821078215216228,0.9173496076721884,0.9168090336620104,constraint_macro,0.0015,0.0015,2.0,sqrt_balanced,5.0,"[3.3151767253875732, 3.5990231037139893, 0.6071081757545471, 0.5499890446662903, 0.44063112139701843, 0.5591581463813782, 0.3051083981990814, 0.38744956254959106, 0.10083659738302231, 0.27473685145378113, 0.6130557656288147, 0.17397259175777435, 2.244385242462158, 0.2560255527496338, 0.9303719997406006, 0.26951494812965393, 0.5171705484390259, 1.0420544147491455, 0.44788286089897156, 2.1563355922698975, 0.22687795758247375, 1.2293003797531128, 2.292656898498535, 0.7147175669670105, 0.5499890446662903, 1.0023283958435059, 0.42467591166496277, 0.4177734851837158, 1.1125763654708862, 0.36342379450798035, 0.5018597841262817, 0.8150181770324707, 0.9359732866287231, 2.807919979095459, 2.030122756958008, 1.9044240713119507, 0.3804285526275635, 0.9270591139793396, 0.3193167448043823, 0.21610507369041443, 0.4460363984107971, 0.5572398900985718, 0.705826461315155, 1.32687509059906, 4.1557936668396, 0.4162737727165222, 0.6940106749534607, 0.8603310585021973, 1.724184513092041, 0.7504481673240662, 0.5100728869438171, 2.2138478755950928, 2.0186853408813477, 0.5913903713226318, 0.6972591876983643, 0.791451632976532, 0.8860182166099548, 0.6917179226875305]",unknown,0.4511651052007472,0.9136476426799008,0.9129579752304268,0.8134454986609891,0.8150737556121446,P1,43,results/exp_generalization/v7_mlp_large_pbmc_nested/test_P1/mlp_matched_seed43
MLP_matched_sqrt_balanced_constraint_macro,both,"704,256",0.03,129899,14660,17205,3000,224,3224,58,78.82862820662558,16,0.9097544338335608,0.904602474120329,0.7918365972974791,0.7817040007443395,0.9107094133697136,0.9049183229378052,constraint_macro,0.0015,0.0015,2.0,sqrt_balanced,5.0,"[3.4772555828094482, 3.584272861480713, 0.6655827760696411, 0.6039682626724243, 0.4693753123283386, 0.596860945224762, 0.3289587199687958, 0.4147411584854126, 0.10598283261060715, 0.29198628664016724, 0.5290115475654602, 0.1789691150188446, 2.266893148422241, 0.2645733058452606, 1.020181655883789, 0.28720173239707947, 0.5578592419624329, 1.0746103525161743, 0.5053160786628723, 2.440908432006836, 0.2329156994819641, 1.298019289970398, 2.225548267364502, 0.7468653321266174, 0.5845790505409241, 0.9058519005775452, 0.44393453001976013, 0.44672730565071106, 1.1264283657073975, 0.35893237590789795, 0.48495936393737793, 0.8319224119186401, 0.9688108563423157, 2.6396725177764893, 1.190630555152893, 2.125471830368042, 0.43465694785118103, 0.9732651710510254, 0.326180100440979, 0.24830088019371033, 0.47526997327804565, 0.6055824160575867, 0.7535408735275269, 1.2901124954223633, 3.7651047706604004, 0.4348568618297577, 0.690593421459198, 0.7614702582359314, 1.7450553178787231, 0.7839042544364929, 0.5313679575920105, 2.1024930477142334, 1.9601267576217651, 0.6342356204986572, 0.7418493628501892, 0.7910308241844177, 0.9283609986305237, 0.7468653321266174]",unknown,0.418680803732829,0.909851787271142,0.9084137281330564,0.8083632301466032,0.8100172100843326,P2,41,results/exp_generalization/v7_mlp_large_pbmc_nested/test_P2/mlp_matched_seed41
MLP_matched_sqrt_balanced_constraint_macro,both,"704,256",0.03,129899,14660,17205,3000,224,3224,58,58.65399274416268,6,0.9083901773533424,0.9042130964695884,0.7882733757946252,0.7830181754326074,0.9083901773533424,0.9042130964695884,constraint_macro,0.0015,0.0015,2.0,sqrt_balanced,5.0,"[3.4772555828094482, 3.584272861480713, 0.6655827760696411, 0.6039682626724243, 0.4693753123283386, 0.596860945224762, 0.3289587199687958, 0.4147411584854126, 0.10598283261060715, 0.29198628664016724, 0.5290115475654602, 0.1789691150188446, 2.266893148422241, 0.2645733058452606, 1.020181655883789, 0.28720173239707947, 0.5578592419624329, 1.0746103525161743, 0.5053160786628723, 2.440908432006836, 0.2329156994819641, 1.298019289970398, 2.225548267364502, 0.7468653321266174, 0.5845790505409241, 0.9058519005775452, 0.44393453001976013, 0.44672730565071106, 1.1264283657073975, 0.35893237590789795, 0.48495936393737793, 0.8319224119186401, 0.9688108563423157, 2.6396725177764893, 1.190630555152893, 2.125471830368042, 0.43465694785118103, 0.9732651710510254, 0.326180100440979, 0.24830088019371033, 0.47526997327804565, 0.6055824160575867, 0.7535408735275269, 1.2901124954223633, 3.7651047706604004, 0.4348568618297577, 0.690593421459198, 0.7614702582359314, 1.7450553178787231, 0.7839042544364929, 0.5313679575920105, 2.1024930477142334, 1.9601267576217651, 0.6342356204986572, 0.7418493628501892, 0.7910308241844177, 0.9283609986305237, 0.7468653321266174]",unknown,0.3586862583920485,0.90990990990991,0.9089818836261347,0.8058947993298824,0.808349440564204,P2,42,results/exp_generalization/v7_mlp_large_pbmc_nested/test_P2/mlp_matched_seed42
MLP_matched_sqrt_balanced_constraint_macro,both,"704,256",0.03,129899,14660,17205,3000,224,3224,58,85.33339396305382,29,0.9093451568894952,0.9046507588591444,0.7877239268576007,0.7856336746971552,0.9096862210095498,0.9050503082824164,constraint_macro,0.0015,0.0015,2.0,sqrt_balanced,5.0,"[3.4772555828094482, 3.584272861480713, 0.6655827760696411, 0.6039682626724243, 0.4693753123283386, 0.596860945224762, 0.3289587199687958, 0.4147411584854126, 0.10598283261060715, 0.29198628664016724, 0.5290115475654602, 0.1789691150188446, 2.266893148422241, 0.2645733058452606, 1.020181655883789, 0.28720173239707947, 0.5578592419624329, 1.0746103525161743, 0.5053160786628723, 2.440908432006836, 0.2329156994819641, 1.298019289970398, 2.225548267364502, 0.7468653321266174, 0.5845790505409241, 0.9058519005775452, 0.44393453001976013, 0.44672730565071106, 1.1264283657073975, 0.35893237590789795, 0.48495936393737793, 0.8319224119186401, 0.9688108563423157, 2.6396725177764893, 1.190630555152893, 2.125471830368042, 0.43465694785118103, 0.9732651710510254, 0.326180100440979, 0.24830088019371033, 0.47526997327804565, 0.6055824160575867, 0.7535408735275269, 1.2901124954223633, 3.7651047706604004, 0.4348568618297577, 0.690593421459198, 0.7614702582359314, 1.7450553178787231, 0.7839042544364929, 0.5313679575920105, 2.1024930477142334, 1.9601267576217651, 0.6342356204986572, 0.7418493628501892, 0.7910308241844177, 0.9283609986305237, 0.7468653321266174]",unknown,0.4145676564456625,0.9164777680906712,0.9151639925682368,0.8132655100986751,0.8084369744292776,P2,43,results/exp_generalization/v7_mlp_large_pbmc_nested/test_P2/mlp_matched_seed43
MLP_matched_sqrt_balanced_constraint_macro,both,"704,256",0.03,130014,17090,14660,3000,224,3224,58,56.124771473929286,3,0.913458162668227,0.9139571768721512,0.7720318468905905,0.7629797502415412,0.913458162668227,0.9139571768721512,constraint_macro,0.0015,0.0015,2.0,sqrt_balanced,5.0,"[3.670994758605957, 3.670994758605957, 0.6918251514434814, 0.6194062829017639, 0.5083122849464417, 0.6336604952812195, 0.32941609621047974, 0.41342824697494507, 0.11157736927270889, 0.29092875123023987, 0.5005740523338318, 0.1759728044271469, 2.279395818710327, 0.2805486023426056, 1.016929268836975, 0.3055517375469208, 0.5733130574226379, 1.215254783630371, 0.5569950938224792, 2.7035398483276367, 0.2318844348192215, 1.3517699241638184, 2.2524194717407227, 0.7951820492744446, 0.799294650554657, 0.8870916366577148, 0.45154768228530884, 0.4437483251094818, 1.0990681648254395, 0.3602955937385559, 0.46906253695487976, 0.8428774476051331, 0.9381250739097595, 2.7035398483276367, 1.2410227060317993, 1.953527569770813, 0.562484860420227, 0.977846086025238, 0.33062466979026794, 0.24546709656715393, 0.47220492362976074, 0.5901989936828613, 0.7216781973838806, 1.2685024738311768, 3.061821460723877, 0.4461999833583832, 0.7508065700531006, 0.622180163860321, 1.9281009435653687, 0.8107871413230896, 0.5497266054153442, 1.6788544654846191, 1.7939335107803345, 0.5295178294181824, 0.7522830367088318, 0.8260383605957031, 0.9498276710510254, 0.7618410587310791]",unknown,0.3880538097751742,0.9035470668485676,0.8968371312803987,0.7596037437580845,0.7562916679929159,P3,41,results/exp_generalization/v7_mlp_large_pbmc_nested/test_P3/mlp_matched_seed41
MLP_matched_sqrt_balanced_constraint_macro,both,"704,256",0.03,130014,17090,14660,3000,224,3224,58,85.58300342410803,24,0.916091281451141,0.9166412583643948,0.7770107597331474,0.7668866084872744,0.9162668227033351,0.9169874674967612,constraint_macro,0.0015,0.0015,2.0,sqrt_balanced,5.0,"[3.670994758605957, 3.670994758605957, 0.6918251514434814, 0.6194062829017639, 0.5083122849464417, 0.6336604952812195, 0.32941609621047974, 0.41342824697494507, 0.11157736927270889, 0.29092875123023987, 0.5005740523338318, 0.1759728044271469, 2.279395818710327, 0.2805486023426056, 1.016929268836975, 0.3055517375469208, 0.5733130574226379, 1.215254783630371, 0.5569950938224792, 2.7035398483276367, 0.2318844348192215, 1.3517699241638184, 2.2524194717407227, 0.7951820492744446, 0.799294650554657, 0.8870916366577148, 0.45154768228530884, 0.4437483251094818, 1.0990681648254395, 0.3602955937385559, 0.46906253695487976, 0.8428774476051331, 0.9381250739097595, 2.7035398483276367, 1.2410227060317993, 1.953527569770813, 0.562484860420227, 0.977846086025238, 0.33062466979026794, 0.24546709656715393, 0.47220492362976074, 0.5901989936828613, 0.7216781973838806, 1.2685024738311768, 3.061821460723877, 0.4461999833583832, 0.7508065700531006, 0.622180163860321, 1.9281009435653687, 0.8107871413230896, 0.5497266054153442, 1.6788544654846191, 1.7939335107803345, 0.5295178294181824, 0.7522830367088318, 0.8260383605957031, 0.9498276710510254, 0.7618410587310791]",unknown,0.4745729228321559,0.9079809004092768,0.9023756441913464,0.7860710840821127,0.7837169112840104,P3,42,results/exp_generalization/v7_mlp_large_pbmc_nested/test_P3/mlp_matched_seed42
MLP_matched_sqrt_balanced_constraint_macro,both,"704,256",0.03,130014,17090,14660,3000,224,3224,58,87.3683001305908,34,0.910825043885313,0.9128262993687224,0.7782956135576458,0.7742522408000944,0.9114686951433588,0.9128262993687224,constraint_macro,0.0015,0.0015,2.0,sqrt_balanced,5.0,"[3.670994758605957, 3.670994758605957, 0.6918251514434814, 0.6194062829017639, 0.5083122849464417, 0.6336604952812195, 0.32941609621047974, 0.41342824697494507, 0.11157736927270889, 0.29092875123023987, 0.5005740523338318, 0.1759728044271469, 2.279395818710327, 0.2805486023426056, 1.016929268836975, 0.3055517375469208, 0.5733130574226379, 1.215254783630371, 0.5569950938224792, 2.7035398483276367, 0.2318844348192215, 1.3517699241638184, 2.2524194717407227, 0.7951820492744446, 0.799294650554657, 0.8870916366577148, 0.45154768228530884, 0.4437483251094818, 1.0990681648254395, 0.3602955937385559, 0.46906253695487976, 0.8428774476051331, 0.9381250739097595, 2.7035398483276367, 1.2410227060317993, 1.953527569770813, 0.562484860420227, 0.977846086025238, 0.33062466979026794, 0.24546709656715393, 0.47220492362976074, 0.5901989936828613, 0.7216781973838806, 1.2685024738311768, 3.061821460723877, 0.4461999833583832, 0.7508065700531006, 0.622180163860321, 1.9281009435653687, 0.8107871413230896, 0.5497266054153442, 1.6788544654846191, 1.7939335107803345, 0.5295178294181824, 0.7522830367088318, 0.8260383605957031, 0.9498276710510254, 0.7618410587310791]",unknown,0.4957943797274143,0.9061391541609822,0.9003972514667761,0.7950087778602131,0.7903878548320011,P3,43,results/exp_generalization/v7_mlp_large_pbmc_nested/test_P3/mlp_matched_seed43
MLP_matched_sqrt_balanced_constraint_macro,both,"704,256",0.03,122863,21811,17090,3000,224,3224,58,69.37429942004383,13,0.9204988308651598,0.9196872574276675,0.8407909366010644,0.8371836011362381,0.9218284351932512,0.921067058361036,constraint_macro,0.0015,0.0015,2.0,sqrt_balanced,5.0,"[3.73984432220459, 4.02793550491333, 0.7024519443511963, 0.6114172339439392, 0.51606285572052, 0.6456484198570251, 0.329230934381485, 0.4241107106208801, 0.11476205289363861, 0.2847326397895813, 0.48975709080696106, 0.16903819143772125, 2.1348016262054443, 0.2525761127471924, 0.9088909029960632, 0.2928343117237091, 0.5303589701652527, 1.1223403215408325, 0.5118787288665771, 2.557741641998291, 0.23419812321662903, 1.3864727020263672, 2.3901400566101074, 0.7521300315856934, 0.7911612391471863, 0.8789675831794739, 0.41812726855278015, 0.45237717032432556, 1.0659047365188599, 0.3907855153083801, 0.5233292579650879, 0.9472907185554504, 0.9568650126457214, 2.479022979736328, 1.176572561264038, 2.044874429702759, 0.518279492855072, 1.0198122262954712, 0.34407952427864075, 0.23005133867263794, 0.4910655915737152, 0.576597273349762, 0.697380006313324, 1.2418657541275024, 3.0712718963623047, 0.5312808156013489, 0.6724442839622498, 0.5944038033485413, 2.034414768218994, 0.8362545371055603, 0.5775448679924011, 1.5971803665161133, 1.6554713249206543, 0.6362366080284119, 0.8011133670806885, 0.8935537338256836, 0.9289740324020386, 0.7960906624794006]",unknown,0.4381981827209678,0.9087770626097132,0.9111099936915124,0.765237365829196,0.7652541876892481,P4,41,results/exp_generalization/v7_mlp_large_pbmc_nested/test_P4/mlp_matched_seed41
