source,train_mode,scenario,n_units,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,weighted_f1_mean,weighted_f1_sd,weighted_f1_ci_low,weighted_f1_ci_high,macro_f1_mean,macro_f1_sd,macro_f1_ci_low,macro_f1_ci_high,ece_mean,ece_sd,ece_ci_low,ece_ci_high,brier_mean,brier_sd,brier_ci_low,brier_ci_high
frozen_checkpoint,no_training_dropout,full,8,0.9119325063485666,0.003999560917109939,0.9085887897453538,0.9152762229517794,0.9107544995448474,0.005397912213443832,0.9062417320023995,0.9152672670872953,0.8071927715107629,0.018489411935770018,0.7917352363076368,0.822650306713889,0.07129689191210137,0.008079788565925769,0.06454201963030685,0.07805176419389588,0.15234919016559914,0.008113887622215703,0.14556581035934543,0.15913256997185285
frozen_checkpoint,no_training_dropout,random_10,8,0.9088489619805825,0.005497212860079472,0.9042531770200363,0.9134447469411288,0.9073711125974179,0.007031731502165472,0.9014924379477729,0.9132497872470628,0.8003020990254721,0.021466033121151994,0.7823560462362135,0.8182481518147308,0.07284115455349542,0.007991487421632967,0.06616010387571535,0.0795222052312755,0.1572151873260736,0.010225069160626064,0.1486668155847852,0.16576355906736198
frozen_checkpoint,no_training_dropout,random_30,8,0.9034885871102731,0.005658753637115673,0.8987577506804616,0.9082194235400847,0.9019653129854217,0.006746358109144947,0.8963252164627596,0.9076054095080838,0.7903960403294485,0.019415059557061604,0.7741646443490565,0.8066274363098406,0.07546153006416408,0.008659538439899597,0.06822197475853464,0.08270108536979351,0.1661268758277098,0.01001165412575481,0.15775692352052015,0.17449682813489945
frozen_checkpoint,no_training_dropout,random_50,8,0.8986330765295939,0.006981144484064841,0.8927966936854336,0.9044694593737542,0.8970927949457197,0.008156246473927152,0.8902740022532277,0.9039115876382117,0.7742377491804873,0.02212858005030985,0.7557377932970275,0.792737705063947,0.07637121040599429,0.011372396353553842,0.06686364912769986,0.08587877168428872,0.17408455287416774,0.011262741108404585,0.16466866567496194,0.18350044007337354
frozen_checkpoint,no_training_dropout,random_70,8,0.8933061845399911,0.0076644621903521485,0.8868985337973952,0.899713835282587,0.8921344887631232,0.007947917007775366,0.8854898638628832,0.8987791136633632,0.7640900237165931,0.022514375784835273,0.745267534527674,0.7829125129055121,0.07695399863401758,0.010704613290584588,0.0680047179673379,0.08590327930069727,0.18105050610999263,0.012443488476100556,0.17064748940847696,0.1914535228115083
frozen_checkpoint,no_training_dropout,marker_memory,8,0.9092997241257597,0.0042272439181892055,0.9057656597701921,0.9128337884813272,0.9081995629065949,0.005297677784563588,0.9037705934437378,0.912628532369452,0.8006206710746671,0.020774180022798683,0.7832530219501836,0.8179883201991505,0.07380103884685577,0.008136719835542202,0.0669985708325787,0.08060350686113284,0.1564468493064244,0.008354499361704884,0.14946231305201757,0.16343138556083125
frozen_checkpoint,no_training_dropout,marker_tcell,8,0.9028979273600193,0.005183059877087365,0.8985647808657822,0.9072310738542564,0.9020610914700304,0.006138976597176953,0.8969287785986596,0.9071934043414013,0.7858629536859395,0.017881762051793634,0.7709134264987183,0.8008124808731607,0.07476562292356498,0.010058943136826927,0.06635613601376561,0.08317510983336435,0.16609426587820048,0.008357575613947201,0.1591071578125595,0.17308137394384146
frozen_checkpoint,no_training_dropout,rna_only,8,0.8893140683356813,0.005660813018047107,0.8845815102203258,0.8940466264510367,0.8881755154906812,0.0067264576381832674,0.8825520561780893,0.8937989748032731,0.755816487336889,0.020069197345009334,0.7390382184802787,0.7725947561934993,0.10628045504182182,0.017799865047707624,0.0913993954634185,0.12116151462022513,0.18879030024011928,0.007442810630002427,0.182567954839242,0.19501264564099655
panel_aware_training,adt_feature_dropout_0.30,full,8,0.9098159263291081,0.004748012888676303,0.9058464882189851,0.9137853644392312,0.9083762301691207,0.006190040965644586,0.9032012264173717,0.9135512339208698,0.8016403240685198,0.016976915535257993,0.7874472674997999,0.8158333806372398,0.0658960588348544,0.009606574843543901,0.0578647612824284,0.0739273563872804,0.15522918229301766,0.009440562145809387,0.14733667482911972,0.1631216897569156
panel_aware_training,adt_feature_dropout_0.30,random_10,8,0.9083245907956073,0.005746473064516244,0.9035204190892736,0.9131287625019411,0.9068537410235056,0.007208325813808393,0.9008274298347227,0.9128800522122884,0.7991499658294567,0.017122726161989853,0.784835008526223,0.8134649231326905,0.06800848242283923,0.008849248347417005,0.06061032566552388,0.07540663918015458,0.15782875257233775,0.01068133417429176,0.14889893373391114,0.16675857141076436
panel_aware_training,adt_feature_dropout_0.30,random_30,8,0.904916186293639,0.0056709887274542965,0.9001751210723289,0.9096572515149491,0.9033604414800471,0.006880668833328319,0.8976080583819962,0.909112824578098,0.7914202605791667,0.017773686659804788,0.7765610866807393,0.8062794344775941,0.07081276996327016,0.01108119330839398,0.061548660523111684,0.08007687940342863,0.16344598432381946,0.009811097940225602,0.1552437011836532,0.17164826746398573
panel_aware_training,adt_feature_dropout_0.30,random_50,8,0.9013408854235957,0.00588776122733497,0.8964185938571959,0.9062631769899955,0.8999400265589148,0.006807343554335103,0.8942489449281714,0.9056311081896582,0.7809044679207904,0.020173969631528944,0.7640386072406644,0.7977703286009163,0.07317688774841287,0.01145432525047602,0.06360083219822234,0.0827529432986034,0.16929629196723298,0.010155058606867728,0.160806450513607,0.17778613342085894
panel_aware_training,adt_feature_dropout_0.30,random_70,8,0.896890452402804,0.0075070102669201125,0.8906144347623157,0.9031664700432922,0.895648912098503,0.007835005183883338,0.8890986838453128,0.9021991403516931,0.7717277875492269,0.022268650787138532,0.7531107295992991,0.7903448454991546,0.0737989102060008,0.01119768048991362,0.06443741504501421,0.08316040536698738,0.1759128825118144,0.01209499277267405,0.16580121550938956,0.18602454951423922
panel_aware_training,adt_feature_dropout_0.30,marker_memory,8,0.9084335395227365,0.005136545883103689,0.9041392797006087,0.9127277993448644,0.9071900530005388,0.006440058253983925,0.9018060295650204,0.9125740764360571,0.7991858946467282,0.01869789871291668,0.7835540601360672,0.8148177291573891,0.06912462688886872,0.010018318884484928,0.06074910270394446,0.07750015107379299,0.15774230410655338,0.00972972518037028,0.14960805029606014,0.1658765579170466
panel_aware_training,adt_feature_dropout_0.30,marker_tcell,8,0.9043329349230234,0.0051712503374334315,0.9000096614510092,0.9086562083950375,0.9031960838668435,0.006415949382299282,0.8978322159524453,0.9085599517812416,0.7883630081914894,0.016267496154791238,0.7747630410669032,0.8019629753160756,0.0700156515623635,0.010735959555496858,0.06104016476240867,0.07899113836231833,0.16380608888963855,0.009086122497523694,0.1562099003870895,0.17140227739218758
panel_aware_training,adt_feature_dropout_0.30,rna_only,8,0.8898449152288528,0.007930011717521484,0.8832152595258692,0.8964745709318364,0.8889193680058475,0.00877268965824666,0.8815852159143953,0.8962535200972996,0.7558080200363423,0.023376606148841253,0.7362646882240275,0.7753513518486571,0.10383823422263476,0.01335890137378823,0.09266991318691103,0.11500655525835848,0.1877433626602093,0.009442909654561486,0.17984889262988138,0.19563783269053722
