score,known_coverage_target,n_targets,n_seeds,mean_known_coverage,mean_unknown_recall,mean_unknown_auroc,mean_unknown_auprc,mean_unknown_parent_safe_rate,mean_known_hierarchical_accuracy,mean_combined_hierarchical_accuracy,worst_target_seed_unknown_recall
energy,0.8,5,3,0.7960666796028907,0.40243485340458107,0.6065669372208918,0.1246962681554001,0.20757188255616021,0.9316705507424493,0.9072686707612766,0.12048192771084337
energy,0.95,5,3,0.9426394934234062,0.28813073811466694,0.6065669372208918,0.1246962681554001,0.13691634833614288,0.9235628801395575,0.8966976591426423,0.03614457831325301
one_minus_margin,0.8,5,3,0.7878335882957934,0.4031840656219926,0.594763337532775,0.08229935335802094,0.22588575827272042,0.9376481377920004,0.9145953728096611,0.10843373493975904
one_minus_margin,0.95,5,3,0.9408531011307454,0.21391569253690598,0.594763337532775,0.08229935335802094,0.11401893556302506,0.9272106701553436,0.899424726993091,0.04819277108433735
one_minus_max_probability,0.8,5,3,0.7887311584102938,0.3643004069037126,0.5847571956906399,0.09610715416163688,0.19807814232490817,0.9343265025176457,0.9101276237684185,0.0963855421686747
one_minus_max_probability,0.95,5,3,0.9414050342442426,0.23718442392964195,0.5847571956906399,0.09610715416163688,0.12311532369033949,0.9265362615436025,0.8990471226512781,0.04819277108433735
