target_label,seed,n_genes,max_cells,source_split,unknown_contract,date,unknown_cache,known_training_cache,n_train,n_val,n_test_known,n_test_unknown,n_classes,threshold_source,test_label_tuning,reused,runtime_seconds
gdT_2,42,3000,100000,configs/splits/pbmc_cite_seq/pseudo_unknown_gdT_2_seed42.csv,labels=-1 for test_unknown_idx; label_classes exclude target_label,2026-07-23,cache/mosaic_n_v33/unknown/gdT_2_g3000_c100000_seed42_unknown_arrays.npz,cache/mosaic_n_v33/unknown/gdT_2_g3000_c100000_seed42_known_training_arrays.npz,71580,9942,17895,583,57,known validation only,False,True,0.0
NK_3,42,3000,100000,configs/splits/pbmc_cite_seq/pseudo_unknown_NK_3_seed42.csv,labels=-1 for test_unknown_idx; label_classes exclude target_label,2026-07-23,cache/mosaic_n_v33/unknown/NK_3_g3000_c100000_seed42_unknown_arrays.npz,cache/mosaic_n_v33/unknown/NK_3_g3000_c100000_seed42_known_training_arrays.npz,71558,9939,17889,614,57,known validation only,False,False,168.14482473954558
CD4 TCM_1,42,3000,100000,configs/splits/pbmc_cite_seq/pseudo_unknown_CD4 TCM_1_seed42.csv,labels=-1 for test_unknown_idx; label_classes exclude target_label,2026-07-23,cache/mosaic_n_v33/unknown/CD4_TCM_1_g3000_c100000_seed42_unknown_arrays.npz,cache/mosaic_n_v33/unknown/CD4_TCM_1_g3000_c100000_seed42_known_training_arrays.npz,71471,9927,17868,734,57,known validation only,False,False,171.40386813879013
CD8 TEM_4,42,3000,100000,configs/splits/pbmc_cite_seq/pseudo_unknown_CD8 TEM_4_seed42.csv,labels=-1 for test_unknown_idx; label_classes exclude target_label,2026-07-23,cache/mosaic_n_v33/unknown/CD8_TEM_4_g3000_c100000_seed42_unknown_arrays.npz,cache/mosaic_n_v33/unknown/CD8_TEM_4_g3000_c100000_seed42_known_training_arrays.npz,71070,9871,17768,1291,57,known validation only,False,False,168.15964387916028
B naive lambda,42,3000,100000,configs/splits/pbmc_cite_seq/pseudo_unknown_B naive lambda_seed42.csv,labels=-1 for test_unknown_idx; label_classes exclude target_label,2026-07-23,cache/mosaic_n_v33/unknown/B_naive_lambda_g3000_c100000_seed42_unknown_arrays.npz,cache/mosaic_n_v33/unknown/B_naive_lambda_g3000_c100000_seed42_known_training_arrays.npz,71940,9992,17985,83,57,known validation only,False,False,167.94960632361472
