score,score_label,coverage,risk_mean,risk_ci95_low,risk_ci95_high,n_donors
branch_disagreement,Top-label conflict,0.5,0.03770085945904281,0.03501369183848337,0.04038802707960224,8
branch_disagreement,Top-label conflict,0.6,0.0378651478523404,0.034777204422119526,0.04095309128256128,8
branch_disagreement,Top-label conflict,0.7,0.03776108953143553,0.034924966474174285,0.04059721258869678,8
branch_disagreement,Top-label conflict,0.8,0.03890535968259773,0.03632311094684447,0.04148760841835099,8
branch_disagreement,Top-label conflict,0.9,0.06329708043333784,0.060459788000757235,0.06613437286591846,8
branch_disagreement,Top-label conflict,0.95,0.0750391161360365,0.0719487044777106,0.07812952779436241,8
combined_logistic_lodo,Combined LODO,0.5,0.016854468626786905,0.012733391491587028,0.02097554576198678,8
combined_logistic_lodo,Combined LODO,0.6,0.016641267889586253,0.013465008122085712,0.019817527657086793,8
combined_logistic_lodo,Combined LODO,0.7,0.02108530431129345,0.018488872723507188,0.02368173589907971,8
combined_logistic_lodo,Combined LODO,0.8,0.03619349739547555,0.033057614306830754,0.03932938048412035,8
combined_logistic_lodo,Combined LODO,0.9,0.05649104706119852,0.053011610496168746,0.059970483626228296,8
combined_logistic_lodo,Combined LODO,0.95,0.06929060951564542,0.0659972303050291,0.07258398872626173,8
final_uncertainty,Final uncertainty,0.5,0.056474957713817796,0.0452493285362931,0.06770058689134249,8
final_uncertainty,Final uncertainty,0.6,0.057469252322021123,0.04635278512241063,0.06858571952163162,8
final_uncertainty,Final uncertainty,0.7,0.058516065370844486,0.04798846835280428,0.0690436623888847,8
final_uncertainty,Final uncertainty,0.8,0.05571431806134551,0.04732869572668769,0.06409994039600332,8
final_uncertainty,Final uncertainty,0.9,0.0563255725515353,0.051284653445345836,0.061366491657724766,8
final_uncertainty,Final uncertainty,0.95,0.06639167494177278,0.06329731713467007,0.06948603274887549,8
