test_donor,split,stage,n_seed_units,temperature_mean,temperature_ci_low,temperature_ci_high,nll_mean,nll_ci_low,nll_ci_high,ece_15bin_mean,ece_15bin_ci_low,ece_15bin_ci_high,brier_mean,brier_ci_low,brier_ci_high,accuracy_mean,accuracy_ci_low,accuracy_ci_high,weighted_f1_mean,weighted_f1_ci_low,weighted_f1_ci_high,macro_f1_mean,macro_f1_ci_low,macro_f1_ci_high,balanced_accuracy_mean,balanced_accuracy_ci_low,balanced_accuracy_ci_high
P1,test,after,3,0.8357305923372301,0.7002287526103296,0.9712324320641307,0.39141095416554333,0.22251592307862395,0.5603059852524628,0.03417663968426344,-0.012740470800047504,0.08109375016857438,0.14549969145687944,0.12937761070375878,0.1616217722100001,0.9121220476059188,0.9076406071187426,0.9166034880930949,0.9121148397603681,0.9073985011267331,0.9168311783940031,0.809117188046896,0.8049690292768139,0.8132653468169782,0.8310508400129816,0.8064609690284893,0.8556407109974739
P1,test,before,3,1.0,1.0,1.0,0.42984808643491607,0.318687905595346,0.5410082672744861,0.07514536279884206,0.05780411735672471,0.0924866082409594,0.1530915245696314,0.14420220767831884,0.16198084146094396,0.9121220476059188,0.9076406071187426,0.9166034880930949,0.9121148397603681,0.9073985011267331,0.9168311783940031,0.809117188046896,0.8049690292768139,0.8132653468169782,0.8310508400129816,0.8064609690284893,0.8556407109974739
P1,validation,after,3,0.8357305923372301,0.7002287526103296,0.9712324320641307,0.3794730163885515,0.24897725916485405,0.509968773612249,0.028067926737366477,0.011159830210859496,0.044976023263873455,0.1445290374650107,0.14136174648279531,0.14769632844722608,0.9126416739319966,0.9052610904683943,0.9200222573955988,0.9130329149452113,0.9080662279624089,0.9179996019280138,0.8302570271612764,0.8239473661519979,0.8365666881705548,0.8317622557754115,0.8127051352966583,0.8508193762541647
P1,validation,before,3,1.0,1.0,1.0,0.41036122511681267,0.32286702347329466,0.4978554267603307,0.06405764705424781,0.04907127846679609,0.07904401564169952,0.1490429111018545,0.14758878457986668,0.1504970376238423,0.9126416739319966,0.9052610904683943,0.9200222573955988,0.9130329149452113,0.9080662279624089,0.9179996019280138,0.8302570271612764,0.8239473661519979,0.8365666881705548,0.8317622557754115,0.8127051352966583,0.8508193762541647
P2,test,after,3,0.8142969762777494,0.630828730926751,0.9977652216287479,0.33780303001498363,0.16434137263407247,0.5112646873958948,0.02346858086946149,0.012207546775238574,0.03472961496368441,0.13714405102766783,0.12529764511510927,0.1489904569402264,0.9148890826310181,0.9067606848214751,0.9230174804405611,0.9139314779320852,0.9055597302880916,0.9223032255760788,0.8213335453851677,0.806411869408693,0.8362552213616423,0.8251725862170005,0.801278032772283,0.849067139661718
P2,test,before,3,1.0,1.0,1.0,0.3785645561317476,0.25737604273251186,0.49975306953098336,0.06587065689185317,0.048746498226598614,0.08299481555710773,0.14224343341021778,0.13503749217837815,0.1494493746420574,0.9148890826310181,0.9067606848214751,0.9230174804405611,0.9139314779320852,0.9055597302880916,0.9223032255760788,0.8213335453851677,0.806411869408693,0.8362552213616423,0.8251725862170005,0.801278032772283,0.849067139661718
P2,validation,after,3,0.8142969762777494,0.630828730926751,0.9977652216287479,0.3796431428314504,0.15332114908555897,0.6059651365773419,0.03356589773969395,-0.0012302460775335602,0.06836204155692147,0.149782080387299,0.12761350531376822,0.1719506554608298,0.9085948158253752,0.8974175330259988,0.9197720986247515,0.9039389539231147,0.8914471319120661,0.9164307759341633,0.8025305475291282,0.7893043638058599,0.8157567312523966,0.8037549198047037,0.7720953026467569,0.8354145369626506
P2,validation,before,3,1.0,1.0,1.0,0.4203641806194494,0.25446748315607326,0.5862608780828256,0.06724397968508412,0.04573889278336642,0.08874906658680183,0.1555616312136293,0.13721326116461469,0.1739100012626439,0.9085948158253752,0.8974175330259988,0.9197720986247515,0.9039389539231147,0.8914471319120661,0.9164307759341633,0.8025305475291282,0.7893043638058599,0.8157567312523966,0.8037549198047037,0.7720953026467569,0.8354145369626506
P3,test,after,3,0.8321391834965075,0.6769397841183583,0.9873385828746567,0.438401514353204,0.23297542752127526,0.6438276011851327,0.045417178528027756,0.008328384274165115,0.0825059727818904,0.15884464699035714,0.14177882483146145,0.17591046914925282,0.9056844020009095,0.9017747911774551,0.9095940128243639,0.9011972035957109,0.8997151275189488,0.902679279672473,0.7892203961691795,0.768627231257926,0.809813561080433,0.7893055105097583,0.7322330153276452,0.8463780056918714
P3,test,before,3,1.0,1.0,1.0,0.465259946489486,0.3159568021380428,0.6145630908409292,0.06104068158981351,0.04622863991330467,0.07585272326632235,0.1629055070412008,0.1498293184362894,0.17598169564611219,0.9056844020009095,0.9017747911774551,0.9095940128243639,0.9011972035957109,0.8997151275189488,0.902679279672473,0.7892203961691795,0.768627231257926,0.809813561080433,0.7893055105097583,0.7322330153276452,0.8463780056918714
P3,validation,after,3,0.8321391834965075,0.6769397841183583,0.9873385828746567,0.40301364138264023,0.22053782144232748,0.585489461322953,0.040376852962791074,-0.007733589532409928,0.08848729545799208,0.14209191155977655,0.12145524379172395,0.16272857932782914,0.9156231714452896,0.9105129132828417,0.9207334296077375,0.9159573366310694,0.9118385981224908,0.920076075139648,0.7851245764780358,0.7768297475510232,0.7934194054050484,0.7811751339631327,0.7457780762262972,0.8165721916999681
P3,validation,before,3,1.0,1.0,1.0,0.43899964489838755,0.3135745394265643,0.5644247503702108,0.0751931735740199,0.06043883037980053,0.08994751676823928,0.14927801337626825,0.13442611789868164,0.16412990885385487,0.9156231714452896,0.9105129132828417,0.9207334296077375,0.9159573366310694,0.9118385981224908,0.920076075139648,0.7851245764780358,0.7768297475510232,0.7934194054050484,0.7811751339631327,0.7457780762262972,0.8165721916999681
P4,test,after,3,0.8452894570864778,0.7306785611588552,0.9599003530141005,0.4219904452339395,0.24452587868138506,0.599455011786494,0.04468364332527141,-0.005592454063010517,0.09495974071355334,0.146929369217475,0.12467696609026019,0.16918177234468978,0.9131070801638385,0.9041125954430013,0.9221015648846757,0.9144216700985965,0.9070659879774305,0.9217773522197625,0.7791630709981275,0.7646338860425456,0.7936922559537095,0.7744564525080384,0.7556282234382012,0.7932846815778756
P4,test,before,3,1.0,1.0,1.0,0.45166170397986205,0.3072799943457388,0.5960434136139853,0.07161481346654963,0.05734911496194468,0.08588051197115458,0.15274480474696758,0.13236139916938647,0.1731282103245487,0.9131070801638385,0.9041125954430013,0.9221015648846757,0.9144216700985965,0.9070659879774305,0.9217773522197625,0.7791630709981275,0.7646338860425456,0.7936922559537095,0.7744564525080384,0.7556282234382012,0.7932846815778756
P4,validation,after,3,0.8452894570864778,0.7306785611588552,0.9599003530141005,0.40121631419701487,0.19669416134168247,0.6057384670523472,0.04441020823474586,-0.010420410435203697,0.09924082690469542,0.1369990657097178,0.11334584111251524,0.16065229030692033,0.920468265248422,0.9155664192688255,0.9253701112280184,0.9199194413466106,0.913810570806936,0.9260283118862853,0.8458297163617231,0.8388696424416329,0.8527897902818133,0.8402310502136398,0.8216427714063057,0.8588193290209738
P4,validation,before,3,1.0,1.0,1.0,0.4310461318643181,0.26156005980057684,0.6005322039280594,0.07574136290541474,0.05068258007947854,0.10080014573135093,0.14335939653702337,0.12111697804471204,0.1656018150293347,0.920468265248422,0.9155664192688255,0.9253701112280184,0.9199194413466106,0.913810570806936,0.9260283118862853,0.8458297163617231,0.8388696424416329,0.8527897902818133,0.8402310502136398,0.8216427714063057,0.8588193290209738
P5,test,after,3,0.7799155716158334,0.7161819710236844,0.8436491722079823,0.3101662370347037,0.2539202851300015,0.3664121889394059,0.027300350531617067,0.017447454792592583,0.03715324627064155,0.13694877775449202,0.11830883238096113,0.1555887231280229,0.913636849907539,0.9027028472007815,0.9245708526142965,0.913546314860282,0.9002353561399662,0.9268572735805979,0.830688802370268,0.8140227872802169,0.847354817460319,0.8401843225329207,0.8295463774494899,0.8508222676163516
P5,test,before,3,1.0,1.0,1.0,0.36460972024563915,0.3245754580690131,0.4046439824222652,0.0744549278042578,0.06712594937246025,0.08178390623605536,0.14503322199069857,0.12622010020929592,0.16384634377210122,0.913636849907539,0.9027028472007815,0.9245708526142965,0.913546314860282,0.9002353561399662,0.9268572735805979,0.830688802370268,0.8140227872802169,0.847354817460319,0.8401843225329207,0.8295463774494899,0.8508222676163516
