method,metric,n_donors,mean,sd_across_donors,ci95_low,ci95_high,ci95_margin,worst_donor_value,best_donor_value
mosaic_branch0,accuracy,8,0.9102372443617713,0.004428045175572019,0.9065353059539836,0.9139391827695591,0.0037019384077878062,0.9044338335607094,0.9175653563191734
mosaic_branch0,weighted_f1,8,0.9094621811883086,0.005128128944615854,0.9051749581028509,0.9137494042737663,0.004287223085457661,0.90048579320342,0.9167875237027262
mosaic_branch0,macro_f1,8,0.8083814860961602,0.017515817781043254,0.7937378959753616,0.8230250762169589,0.014643590120798666,0.7787425516557581,0.8281355954674517
mosaic_branch0,balanced_accuracy,8,0.8097063485690994,0.0209060853237666,0.79222842385336,0.8271842732848388,0.017477924715739345,0.7744538873603402,0.8362544989591653
mosaic_branch015,accuracy,8,0.9103327184290193,0.004204767120074719,0.9068174451469221,0.9138479917111165,0.0035152732820972455,0.9055111111111112,0.9175009341218611
mosaic_branch015,weighted_f1,8,0.9093864284111158,0.004939375626865655,0.9052570070482855,0.9135158497739462,0.004129421362830345,0.9023291534906797,0.9166271927356217
mosaic_branch015,macro_f1,8,0.8061269927393344,0.0164355145932846,0.7923865586849828,0.8198674267936861,0.013740434054351639,0.7821496999146258,0.8254236206731101
mosaic_branch015,balanced_accuracy,8,0.8081990038818452,0.015268060837198465,0.7954345855923763,0.820963422171314,0.012764418289468863,0.783401881345005,0.8296186470141474
mosaic_branch070,accuracy,8,0.9140308458776567,0.0034787401653444,0.9111225463192316,0.9169391454360818,0.0029082995584251096,0.9093947867450906,0.9178230451084226
mosaic_branch070,weighted_f1,8,0.912560115320018,0.0047300335354542224,0.9086057083253423,0.9165145223146938,0.00395440699467578,0.9051285481898869,0.917510432259497
mosaic_branch070,macro_f1,8,0.8092117977857485,0.020606209323443574,0.791984575680112,0.8264390198913849,0.017227222105636413,0.7767206129057764,0.838228544054132
mosaic_branch070,balanced_accuracy,8,0.8063183944442212,0.02396450922564123,0.7862835633599321,0.8263532255285102,0.020034831084289058,0.7734187255842007,0.8437651078902536
mosaic_late_fusion,accuracy,8,0.910839308284807,0.003988300507259654,0.9075050056198128,0.9141736109498011,0.003334302664994112,0.9059428571428572,0.9162897968123898
mosaic_late_fusion,weighted_f1,8,0.9098975310018766,0.005263356798484264,0.9054972546014257,0.9142978074023276,0.004400276400450888,0.9010211873319641,0.9160791174696011
mosaic_late_fusion,macro_f1,8,0.8121620416831199,0.015491073202843842,0.7992111803902353,0.8251129029760045,0.012950861292884606,0.7884637320141666,0.8374006702847705
mosaic_late_fusion,balanced_accuracy,8,0.8132396646738577,0.017119697921231844,0.7989272390432528,0.8275520903044625,0.014312425630604874,0.7858378654072217,0.8389618396871826
