source,train_mode,scenario,n_units,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,weighted_f1_mean,weighted_f1_sd,weighted_f1_ci_low,weighted_f1_ci_high,macro_f1_mean,macro_f1_sd,macro_f1_ci_low,macro_f1_ci_high,ece_mean,ece_sd,ece_ci_low,ece_ci_high,brier_mean,brier_sd,brier_ci_low,brier_ci_high
frozen_checkpoint,no_training_dropout,full,8,0.9119325063485666,0.0039995609171099,0.9085887897453538,0.9152762229517794,0.9107544995448474,0.0053979122134438,0.9062417320023995,0.9152672670872952,0.8071927715107629,0.01848941193577,0.7917352363076368,0.822650306713889,0.0712968919121013,0.0080797885659257,0.0645420196303068,0.0780517641938958,0.1523491901655991,0.0081138876222157,0.1455658103593454,0.1591325699718528
panel_aware_training,adt_feature_dropout_0.30,full,8,0.909815926329108,0.0047480128886763,0.9058464882189852,0.9137853644392312,0.9083762301691208,0.0061900409656445,0.9032012264173715,0.9135512339208698,0.8016403240685198,0.0169769155352579,0.7874472674997999,0.8158333806372398,0.0658960588348544,0.0096065748435439,0.0578647612824284,0.0739273563872804,0.1552291822930176,0.0094405621458093,0.1473366748291197,0.1631216897569156
frozen_checkpoint,no_training_dropout,random_30,8,0.9034885871102732,0.0056587536371156,0.8987577506804616,0.9082194235400848,0.9019653129854216,0.0067463581091449,0.8963252164627596,0.9076054095080838,0.7903960403294485,0.0194150595570616,0.7741646443490565,0.8066274363098406,0.075461530064164,0.0086595384398995,0.0682219747585346,0.0827010853697935,0.1661268758277098,0.0100116541257548,0.1577569235205201,0.1744968281348994
panel_aware_training,adt_feature_dropout_0.30,random_30,8,0.904916186293639,0.0056709887274542,0.9001751210723289,0.9096572515149492,0.9033604414800472,0.0068806688333283,0.8976080583819962,0.909112824578098,0.7914202605791667,0.0177736866598047,0.7765610866807393,0.8062794344775941,0.0708127699632701,0.0110811933083939,0.0615486605231116,0.0800768794034286,0.1634459843238194,0.0098110979402256,0.1552437011836532,0.1716482674639857
frozen_checkpoint,no_training_dropout,marker_tcell,8,0.9028979273600192,0.0051830598770873,0.8985647808657822,0.9072310738542564,0.9020610914700304,0.0061389765971769,0.8969287785986596,0.9071934043414012,0.7858629536859395,0.0178817620517936,0.7709134264987183,0.8008124808731607,0.0747656229235649,0.0100589431368269,0.0663561360137656,0.0831751098333643,0.1660942658782004,0.0083575756139472,0.1591071578125595,0.1730813739438414
panel_aware_training,adt_feature_dropout_0.30,marker_tcell,8,0.9043329349230234,0.0051712503374334,0.9000096614510092,0.9086562083950376,0.9031960838668436,0.0064159493822992,0.8978322159524453,0.9085599517812416,0.7883630081914894,0.0162674961547912,0.7747630410669032,0.8019629753160756,0.0700156515623635,0.0107359595554968,0.0610401647624086,0.0789911383623183,0.1638060888896385,0.0090861224975236,0.1562099003870895,0.1714022773921875
frozen_checkpoint,no_training_dropout,rna_only,8,0.8893140683356813,0.0056608130180471,0.8845815102203258,0.8940466264510367,0.8881755154906812,0.0067264576381832,0.8825520561780893,0.8937989748032731,0.755816487336889,0.0200691973450093,0.7390382184802787,0.7725947561934993,0.1062804550418218,0.0177998650477076,0.0913993954634185,0.1211615146202251,0.1887903002401192,0.0074428106300024,0.182567954839242,0.1950126456409965
panel_aware_training,adt_feature_dropout_0.30,rna_only,8,0.8898449152288528,0.0079300117175214,0.8832152595258692,0.8964745709318364,0.8889193680058475,0.0087726896582466,0.8815852159143953,0.8962535200972996,0.7558080200363423,0.0233766061488412,0.7362646882240275,0.7753513518486571,0.1038382342226347,0.0133589013737882,0.092669913186911,0.1150065552583584,0.1877433626602093,0.0094429096545614,0.1798488926298813,0.1956378326905372
