metric,n_seeds,base_mean,refined_mean,mean_delta,delta_sd,delta_ci95_low,delta_ci95_high,paired_t_pvalue_two_sided,wilcoxon_pvalue_greater,positive_delta_count,negative_delta_count
accuracy,10,0.9208000000000001,0.9208533333333333,5.3333333333338564e-05,0.000207988603676423,-9.545275066602319e-05,0.0002021194173327003,0.4383483745315476,0.25659387447902327,5,4
weighted_f1,10,0.9199516412644358,0.9199991165752852,4.747531084924317e-05,0.00021818635604853212,-0.00010860580573470107,0.0002035564274331874,0.5087456730858846,0.2783203125,6,4
macro_f1,10,0.8436573953127846,0.8436985495228972,4.115421011272602e-05,0.0009444352553199584,-0.000634454072005487,0.000716762492230939,0.8934339530034378,0.65234375,4,6
