test_donor,seed,score,score_label,coverage,risk
P8,42,final_uncertainty,Final uncertainty,0.9,0.06133333333333333
P8,42,final_uncertainty,Final uncertainty,0.95,0.06724946866102578
P8,42,combined_logistic_lodo,Combined LODO,0.5,0.01958095238095238
P8,42,combined_logistic_lodo,Combined LODO,0.6,0.017714285714285714
P8,42,combined_logistic_lodo,Combined LODO,0.7,0.01834013605442177
P8,42,combined_logistic_lodo,Combined LODO,0.8,0.03328571428571429
P8,42,combined_logistic_lodo,Combined LODO,0.9,0.05570370370370371
P8,42,combined_logistic_lodo,Combined LODO,0.95,0.07001644143240968
P8,42,branch_disagreement,Top-label conflict,0.5,0.0352
P8,42,branch_disagreement,Top-label conflict,0.6,0.03536507936507936
P8,42,branch_disagreement,Top-label conflict,0.7,0.03580952380952381
P8,42,branch_disagreement,Top-label conflict,0.8,0.03628571428571428
P8,42,branch_disagreement,Top-label conflict,0.9,0.062391534391534394
P8,42,branch_disagreement,Top-label conflict,0.95,0.07522957853791555
P8,43,final_uncertainty,Final uncertainty,0.5,0.07535238095238095
P8,43,final_uncertainty,Final uncertainty,0.6,0.07180952380952381
P8,43,final_uncertainty,Final uncertainty,0.7,0.07482993197278912
P8,43,final_uncertainty,Final uncertainty,0.8,0.06804761904761905
P8,43,final_uncertainty,Final uncertainty,0.9,0.06213756613756614
P8,43,final_uncertainty,Final uncertainty,0.95,0.0692946224485704
P8,43,combined_logistic_lodo,Combined LODO,0.5,0.018666666666666668
P8,43,combined_logistic_lodo,Combined LODO,0.6,0.016825396825396827
P8,43,combined_logistic_lodo,Combined LODO,0.7,0.020027210884353743
P8,43,combined_logistic_lodo,Combined LODO,0.8,0.03761904761904762
P8,43,combined_logistic_lodo,Combined LODO,0.9,0.05985185185185185
P8,43,combined_logistic_lodo,Combined LODO,0.95,0.07278341420379356
P8,43,branch_disagreement,Top-label conflict,0.5,0.03626666666666667
P8,43,branch_disagreement,Top-label conflict,0.6,0.03631746031746032
P8,43,branch_disagreement,Top-label conflict,0.7,0.0352108843537415
P8,43,branch_disagreement,Top-label conflict,0.8,0.03757142857142857
P8,43,branch_disagreement,Top-label conflict,0.9,0.06586243386243386
P8,43,branch_disagreement,Top-label conflict,0.95,0.0780767534186149
