method,metric,n_donors,n_fold_seed_units,mean,sd_across_donors,ci95_low,ci95_high,ci95_margin,worst_donor_value,best_donor_value,parameter_count,input_dim,hidden_dims,source_root
MLP parameter-matched capacity control,accuracy,8,24,0.9111113033408411,0.003650860594198652,0.9080591075028894,0.9141634991787928,0.0030521958379516956,0.9058890404729422,0.9166475631562055,2467706,3224,"704,256",results/exp_generalization/v7_mlp_large_pbmc_nested
MLP parameter-matched capacity control,weighted_f1,8,24,0.9096461260577083,0.005450573482918479,0.9050893325922309,0.9142029195231858,0.004556793465477484,0.899870008979507,0.9162966995800162,2467706,3224,"704,256",results/exp_generalization/v7_mlp_large_pbmc_nested
MLP parameter-matched capacity control,macro_f1,8,24,0.8001186417209843,0.018524305641666565,0.7846319346497027,0.815605348792266,0.015486707071281655,0.7720528791574055,0.8261634630872141,2467706,3224,"704,256",results/exp_generalization/v7_mlp_large_pbmc_nested
MLP parameter-matched capacity control,balanced_accuracy,8,24,0.8024127304341364,0.02061423436062475,0.7851787992295214,0.8196466616387514,0.01723393120461508,0.7729913466564122,0.8321210126980088,2467706,3224,"704,256",results/exp_generalization/v7_mlp_large_pbmc_nested
