method,class_label,n_observed_donors,mean_f1,sd_across_donors,ci95_low,ci95_high,ci95_margin,worst_donor,worst_donor_f1,total_test_support
inference::adt_branch,ASDC_mDC,8,0.6905637765012764,0.09111727596853919,0.6143878274884342,0.7667397255141186,0.07617594901284222,P1,0.5707070707070706,40
inference::adt_branch,ASDC_pDC,8,0.6551137587902294,0.1684858004399266,0.5142561046596202,0.7959714129208385,0.14085765413060913,P3,0.38888888888888884,36
inference::adt_branch,B intermediate kappa,8,0.502967327593992,0.0841971020720593,0.4325767887384976,0.5733578664494864,0.07039053885549437,P7,0.3258566519998005,1100
inference::adt_branch,B intermediate lambda,8,0.38385421182176455,0.10655448762581297,0.2947724308949945,0.4729359927485346,0.08908178092677005,P2,0.2742742439831346,1331
inference::adt_branch,B memory kappa,8,0.5664532803861793,0.06553561654797134,0.5116641338536693,0.6212424269186893,0.054789146532509984,P3,0.43852648002080263,2037
inference::adt_branch,B memory lambda,8,0.29309365580527336,0.07551162752015662,0.22996435538766338,0.35622295622288336,0.06312930041760997,P5,0.1923559373265483,1248
inference::adt_branch,B naive kappa,8,0.7036228831790864,0.07129618861863284,0.6440177778761339,0.7632279884820389,0.05960510530295245,P8,0.5756707946387339,4852
inference::adt_branch,B naive lambda,8,0.4502838557208714,0.07038068499603434,0.3914441306000505,0.5091235808416922,0.05883972512082085,P4,0.28790347100744634,2866
inference::adt_branch,CD14 Mono,8,0.9772870234496362,0.009541347617734374,0.9693102572226334,0.9852637896766391,0.007976766227002802,P2,0.9602620120962738,42690
inference::adt_branch,CD16 Mono,8,0.8931608831265797,0.028830977044094284,0.8690575831326284,0.917264183120531,0.024103299993951312,P5,0.8518233968535446,6320
inference::adt_branch,CD4 CTL,8,0.8112813212890255,0.17996977557614924,0.6608228236834238,0.9617398188946272,0.1504584976056017,P6,0.537037037037037,1736
inference::adt_branch,CD4 Naive,8,0.9520916814776123,0.01793829188669495,0.937094894165729,0.9670884687894955,0.014996787311883279,P3,0.9283935453790293,17479
inference::adt_branch,CD4 Proliferating,8,0.4697566362627818,0.13276619923346594,0.35876131604568756,0.5807519564798761,0.11099532021709425,P5,0.29367521367521365,108
inference::adt_branch,CD4 TCM_1,8,0.7381390984280944,0.056208224510595574,0.691147846781152,0.7851303500750368,0.046991251646942345,P6,0.618581479675803,8141
inference::adt_branch,CD4 TCM_2,8,0.6132143291932788,0.05000412643335591,0.5714098333374737,0.6550188250490838,0.041804495855804986,P1,0.5519000330497706,593
inference::adt_branch,CD4 TCM_3,8,0.7909391807118383,0.03938997727194186,0.7580083356180881,0.8238700258055885,0.03293084509375026,P3,0.7543203353320306,6155
inference::adt_branch,CD4 TEM_1,8,0.5562914271575236,0.155145732990805,0.4265863485075843,0.6859965058074629,0.12970507864993924,P4,0.2218507927659893,1706
inference::adt_branch,CD4 TEM_2,8,0.4871866430100059,0.12046786215915427,0.38647298988575784,0.587900296134254,0.10071365312424807,P5,0.3435510750484933,452
inference::adt_branch,CD4 TEM_3,8,0.7159214301809724,0.08846541385384575,0.641962493376745,0.7898803669851998,0.07395893680422742,P2,0.6059667886293273,2044
inference::adt_branch,CD4 TEM_4,7,0.5735704461304012,0.12306133571095729,0.45975769312524134,0.6873831991355611,0.11381275300515988,P2,0.41111111111111115,80
inference::adt_branch,CD8 Naive,8,0.9699374666126668,0.009870768613881904,0.9616852975409284,0.9781896356844052,0.008252169071738395,P4,0.9543760311624677,10478
inference::adt_branch,CD8 Naive_2,8,0.5790759263469514,0.03948457351539785,0.5460659968145838,0.612085855879319,0.03300992953236756,P1,0.5110249161790809,290
inference::adt_branch,CD8 Proliferating,8,0.25138642550004664,0.1503239273777035,0.12571247722169882,0.37706037377839446,0.12567394827834782,P1,0.0289855072463768,91
inference::adt_branch,CD8 TCM_1,8,0.4993863602556966,0.0671042272390171,0.44328582236790337,0.5554868981434898,0.056100537887793234,P4,0.4020148831598173,929
inference::adt_branch,CD8 TCM_2,8,0.7073244717956241,0.11467621699398854,0.6114527551989174,0.8031961883923308,0.09587171659670668,P2,0.4691350141745225,1322
inference::adt_branch,CD8 TCM_3,8,0.8273557553516568,0.07216814237864314,0.7670216784628217,0.887689832240492,0.060334076888835186,P4,0.6844669197702599,632
inference::adt_branch,CD8 TEM_1,8,0.7440800972153916,0.05707996482091819,0.6963600524309711,0.7918001419998121,0.047720044784420504,P7,0.6565576073137841,2786
