metric,n_donors,mean_difference,ci95_low,ci95_high,paired_t_pvalue,positive_donor_count,negative_donor_count
macro_precision,8,0.01705836215836444,0.011147414405387808,0.022969309911341072,0.00024773945789714654,8,0
macro_recall,8,0.0073831722919752985,0.0013048503413890748,0.013461494242561522,0.02391514449781384,7,1
macro_f1,8,0.0111225293008341,0.006221915569554809,0.016023143032113392,0.0010451088812867095,8,0
