reference,comparator,metric,n_donors,reference_mean,comparator_mean,mean_difference,difference_ci95_low,difference_ci95_high,difference_ci95_margin,paired_t_pvalue,wilcoxon_pvalue,positive_donor_count,negative_donor_count,zero_donor_count
MLP matched protocol,MLP original protocol,accuracy,8,0.9102998467234271,0.9090639224956786,0.0012359242277485416,0.00029804397663083947,0.0021738044788662436,0.0009378802511177021,0.01693672661574992,0.0234375,7,1,0
MLP matched protocol,MLP original protocol,weighted_f1,8,0.9091520475701659,0.9067966069970116,0.002355440573154302,0.001331936491235076,0.0033789446550735285,0.0010235040819192261,0.0009643646984864606,0.0078125,8,0,0
MLP matched protocol,MLP original protocol,macro_f1,8,0.796079977697076,0.7923437919473947,0.003736185749681209,-0.0016834455066454404,0.009155817006007858,0.005419631256326649,0.1470972125876122,0.109375,6,2,0
MLP matched protocol,MLP original protocol,balanced_accuracy,8,0.8010740097038818,0.7796289328588666,0.02144507684501515,0.015340367963371753,0.027549785726658546,0.006104708881643396,7.163362984528793e-05,0.0078125,8,0,0
