target_label,known_test_coverage,unknown_recall,unknown_auroc,unknown_parent_safe_rate,combined_hierarchical_accuracy,n_unknown,n_seeds,score,known_coverage_target,statistical_unit,protocol,caveat,source_artifact
B naive lambda,0.7926605504587156,0.12851405622489956,0.42575193741326167,0.07228915662650597,0.9276806139768282,83,3,one_minus_margin,0.8,leave-class-out target,validation-selected margin reject at target coverage 0.80,Seed means are descriptive within each target; target support and difficulty vary substantially.,results/tables/mosaic_n_v33_unknown_reject_metrics_2026-07-23.csv
CD4 TCM_1,0.7806880083575853,0.5722070844686648,0.7284462254941729,0.24886466848319708,0.9166756262767445,734,3,one_minus_margin,0.8,leave-class-out target,validation-selected margin reject at target coverage 0.80,Seed means are descriptive within each target; target support and difficulty vary substantially.,results/tables/mosaic_n_v33_unknown_reject_metrics_2026-07-23.csv
CD8 TEM_4,0.7897343538946421,0.4056287115930803,0.5696465550243185,0.39452620707461916,0.9011490634345978,1291,3,one_minus_margin,0.8,leave-class-out target,validation-selected margin reject at target coverage 0.80,Seed means are descriptive within each target; target support and difficulty vary substantially.,results/tables/mosaic_n_v33_unknown_reject_metrics_2026-07-23.csv
NK_3,0.7847094117427842,0.3458197611292073,0.5473638134887664,0.33713355048859933,0.919220306616945,614,3,one_minus_margin,0.8,leave-class-out target,validation-selected margin reject at target coverage 0.80,Seed means are descriptive within each target; target support and difficulty vary substantially.,results/tables/mosaic_n_v33_unknown_reject_metrics_2026-07-23.csv
gdT_2,0.7913756170252398,0.5637507146941109,0.7026081562433553,0.07661520869068034,0.90825125374319,583,3,one_minus_margin,0.8,leave-class-out target,validation-selected margin reject at target coverage 0.80,Seed means are descriptive within each target; target support and difficulty vary substantially.,results/tables/mosaic_n_v33_unknown_reject_metrics_2026-07-23.csv
