method,n_runs,median_runtime_seconds,min_runtime_seconds,max_runtime_seconds,median_epochs,device,parameters
MLP early fusion,24,62.28963448945433,48.149916011840105,88.82006879709661,22.0,cuda,1725626
MOSAIC full,24,130.04293467383832,89.54253698699176,201.1363225914538,25.0,cuda,2506424
MOSAIC without HSR,24,146.00263820495456,82.62686329893768,179.35825631581247,30.0,cuda,2423985
MOSAIC without KD,24,135.88936055637896,89.66900103725493,182.3435719013214,25.5,cuda,2506424
