reference,comparator,metric,n_donors,mean_difference,difference_ci95_low,difference_ci95_high,cohen_dz,paired_t_pvalue,wilcoxon_pvalue,positive_donor_count
MOSAIC full,Early-fusion XGBoost uncapped,accuracy,8,0.008741782391522485,-0.0028700691413333125,0.02035363392437828,0.629383948732708,0.11826612954847064,0.109375,6
MOSAIC full,Early-fusion XGBoost uncapped,weighted_f1,8,0.009734418929327693,-0.0010475244771101459,0.02051636233576553,0.7547969392941055,0.07016193015920535,0.0546875,6
MOSAIC full,Early-fusion XGBoost uncapped,macro_f1,8,0.018681175287227736,0.005297053023487978,0.03206529755096749,1.1668941055043247,0.013112146174340773,0.015625,7
MOSAIC full,Early-fusion XGBoost uncapped,balanced_accuracy,8,0.03295421052663543,0.01901631171672749,0.046892109336543364,1.9766544315622478,0.0008238283108894202,0.0078125,8
