method,metric,n_donors,mean,ci95_low,ci95_high
MLP matched protocol,macro_precision,8,0.8145002731106501,0.8004676834679838,0.8285328627533164
MLP matched protocol,macro_recall,8,0.8010740097038818,0.7820578192132164,0.8200902001945471
MLP matched protocol,macro_f1,8,0.7978446220082772,0.7791758095047626,0.8165134345117918
MOSAIC full,macro_precision,8,0.8315586352690145,0.819392422603859,0.84372484793417
MOSAIC full,macro_recall,8,0.808457181995857,0.7889620677925152,0.8279522961991989
MOSAIC full,macro_f1,8,0.8089671513091112,0.7927809000125853,0.8251534026056372
