test_donor,seed,score,metric,value
P3,42,vote_entropy,auprc,0.23752295076057103
P3,42,vote_entropy,risk_at_coverage_0_90,0.06586327118387146
P3,42,top_probability_variance,auroc,0.747535979590256
P3,42,top_probability_variance,auprc,0.188864758408201
P3,42,top_probability_variance,risk_at_coverage_0_90,0.08011217219948462
P3,42,margin_variance,auroc,0.7439506144010671
P3,42,margin_variance,auprc,0.1683442991763545
P3,42,margin_variance,risk_at_coverage_0_90,0.0849628619069274
P3,43,final_uncertainty,auroc,0.6259317934465972
P3,43,final_uncertainty,auprc,0.26078040844969735
P3,43,final_uncertainty,risk_at_coverage_0_90,0.06950128846445354
P3,43,branch_disagreement,auroc,0.7332605380601912
P3,43,branch_disagreement,auprc,0.23232475929703766
P3,43,branch_disagreement,risk_at_coverage_0_90,0.06790965590419888
P3,43,vote_entropy,auroc,0.7332605380601912
P3,43,vote_entropy,auprc,0.23232475929703766
P3,43,vote_entropy,risk_at_coverage_0_90,0.06790965590419888
P3,43,top_probability_variance,auroc,0.7439177638455112
P3,43,top_probability_variance,auprc,0.17659777396906956
P3,43,top_probability_variance,risk_at_coverage_0_90,0.08352281340003032
P3,43,margin_variance,auroc,0.7343596534373766
P3,43,margin_variance,auprc,0.1607235914208905
P3,43,margin_variance,risk_at_coverage_0_90,0.0871608306806124
P4,41,final_uncertainty,auroc,0.5909723134014704
P4,41,final_uncertainty,auprc,0.25854778397881256
P4,41,final_uncertainty,risk_at_coverage_0_90,0.05792861322410767
P4,41,branch_disagreement,auroc,0.7601343950403562
P4,41,branch_disagreement,auprc,0.22903453592126288
P4,41,branch_disagreement,risk_at_coverage_0_90,0.06124439243222157
P4,41,vote_entropy,auroc,0.7601343950403562
P4,41,vote_entropy,auprc,0.22903453592126288
P4,41,vote_entropy,risk_at_coverage_0_90,0.06124439243222157
P4,41,top_probability_variance,auroc,0.7495950898071987
P4,41,top_probability_variance,auprc,0.16300476970406635
P4,41,top_probability_variance,risk_at_coverage_0_90,0.07379234120018205
P4,41,margin_variance,auroc,0.7488493575311959
P4,41,margin_variance,auprc,0.15293564809214844
P4,41,margin_variance,risk_at_coverage_0_90,0.07684805929393407
P4,42,final_uncertainty,auroc,0.6244086722175894
P4,42,final_uncertainty,auprc,0.2858001293059096
P4,42,final_uncertainty,risk_at_coverage_0_90,0.06091931603926923
P4,42,branch_disagreement,auroc,0.7839908025878114
P4,42,branch_disagreement,auprc,0.26177549212639634
P4,42,branch_disagreement,risk_at_coverage_0_90,0.06586047721214486
P4,42,vote_entropy,auroc,0.7839908025878114
P4,42,vote_entropy,auprc,0.26177549212639634
P4,42,vote_entropy,risk_at_coverage_0_90,0.06586047721214486
P4,42,top_probability_variance,auroc,0.7348266259786321
P4,42,top_probability_variance,auprc,0.16464511337198914
P4,42,top_probability_variance,risk_at_coverage_0_90,0.08172420518821923
P4,42,margin_variance,auroc,0.7287939998742591
P4,42,margin_variance,auprc,0.15440257001676522
P4,42,margin_variance,risk_at_coverage_0_90,0.08523503023210455
P4,43,final_uncertainty,auroc,0.743271533965699
P4,43,final_uncertainty,auprc,0.3487530362690575
P4,43,final_uncertainty,risk_at_coverage_0_90,0.04752616864963266
P4,43,branch_disagreement,auroc,0.7708571559225483
P4,43,branch_disagreement,auprc,0.24203736819035176
P4,43,branch_disagreement,risk_at_coverage_0_90,0.062089591053897664
P4,43,vote_entropy,auroc,0.7708571559225483
P4,43,vote_entropy,auprc,0.24203736819035176
P4,43,vote_entropy,risk_at_coverage_0_90,0.062089591053897664
P4,43,top_probability_variance,auroc,0.6489315982474936
P4,43,top_probability_variance,auprc,0.12069548078961283
P4,43,top_probability_variance,risk_at_coverage_0_90,0.08185423574540017
P4,43,margin_variance,auroc,0.6394964592751312
P4,43,margin_variance,auprc,0.11071713038389437
P4,43,margin_variance,risk_at_coverage_0_90,0.08608022885378064
P5,41,final_uncertainty,auroc,0.8063640359675135
P5,41,final_uncertainty,auprc,0.3668499174948324
P5,41,final_uncertainty,risk_at_coverage_0_90,0.048346833766366094
P5,41,branch_disagreement,auroc,0.7363188460367783
P5,41,branch_disagreement,auprc,0.21632859794310624
P5,41,branch_disagreement,risk_at_coverage_0_90,0.06352845279942941
P5,41,vote_entropy,auroc,0.7363188460367783
P5,41,vote_entropy,auprc,0.21632859794310624
P5,41,vote_entropy,risk_at_coverage_0_90,0.06352845279942941
P5,41,top_probability_variance,auroc,0.667650551166129
P5,41,top_probability_variance,auprc,0.12244806339588223
P5,41,top_probability_variance,risk_at_coverage_0_90,0.08151204849966885
P5,41,margin_variance,auroc,0.6601490940149152
P5,41,margin_variance,auprc,0.11374475929193012
P5,41,margin_variance,risk_at_coverage_0_90,0.08660655153089816
P5,42,final_uncertainty,auroc,0.7377916179869761
P5,42,final_uncertainty,auprc,0.3318876967775177
P5,42,final_uncertainty,risk_at_coverage_0_90,0.04635997758418666
P5,42,branch_disagreement,auroc,0.7547335619029906
P5,42,branch_disagreement,auprc,0.22750997309913268
P5,42,branch_disagreement,risk_at_coverage_0_90,0.05919812522288451
P5,42,vote_entropy,auroc,0.7547335619029906
P5,42,vote_entropy,auprc,0.22750997309913268
P5,42,vote_entropy,risk_at_coverage_0_90,0.05919812522288451
P5,42,top_probability_variance,auroc,0.6914935164326306
P5,42,top_probability_variance,auprc,0.1296532129476101
P5,42,top_probability_variance,risk_at_coverage_0_90,0.0782515665596821
P5,42,margin_variance,auroc,0.6872271688445551
P5,42,margin_variance,auprc,0.1211941589984099
P5,42,margin_variance,risk_at_coverage_0_90,0.0818686637118549
P5,43,final_uncertainty,auroc,0.7289590239833033
P5,43,final_uncertainty,auprc,0.34445750553738247
P5,43,final_uncertainty,risk_at_coverage_0_90,0.05435834734321667
P5,43,branch_disagreement,auroc,0.7391481900641688
P5,43,branch_disagreement,auprc,0.23651878983297617
P5,43,branch_disagreement,risk_at_coverage_0_90,0.06622853940598095
P5,43,vote_entropy,auroc,0.7391481900641688
P5,43,vote_entropy,auprc,0.23651878983297617
P5,43,vote_entropy,risk_at_coverage_0_90,0.06622853940598095
P5,43,top_probability_variance,auroc,0.6953006997685346
P5,43,top_probability_variance,auprc,0.1530750793404977
P5,43,top_probability_variance,risk_at_coverage_0_90,0.08314228946966223
P5,43,margin_variance,auroc,0.6903378396528069
P5,43,margin_variance,auprc,0.13924248755167262
P5,43,margin_variance,risk_at_coverage_0_90,0.08686127668245963
P6,41,final_uncertainty,auroc,0.689890078598485
P6,41,final_uncertainty,auprc,0.3155418025200854
P6,41,final_uncertainty,risk_at_coverage_0_90,0.05624899555365083
P6,41,branch_disagreement,auroc,0.751331825939558
P6,41,branch_disagreement,auprc,0.23374167828032327
P6,41,branch_disagreement,risk_at_coverage_0_90,0.06760593560829271
P6,41,vote_entropy,auroc,0.751331825939558
P6,41,vote_entropy,auprc,0.23374167828032327
P6,41,vote_entropy,risk_at_coverage_0_90,0.06760593560829271
P6,41,top_probability_variance,auroc,0.6809065166198074
P6,41,top_probability_variance,auprc,0.13959820301528653
P6,41,top_probability_variance,risk_at_coverage_0_90,0.0854449027695934
P6,41,margin_variance,auroc,0.668064274837523
P6,41,margin_variance,auprc,0.12564873477757085
P6,41,margin_variance,risk_at_coverage_0_90,0.09021267477366475
P6,42,final_uncertainty,auroc,0.6179724469532452
P6,42,final_uncertainty,auprc,0.2771680704786682
P6,42,final_uncertainty,risk_at_coverage_0_90,0.06476670059463224
P6,42,branch_disagreement,auroc,0.7422035312645968
P6,42,branch_disagreement,auprc,0.22323690863587176
P6,42,branch_disagreement,risk_at_coverage_0_90,0.0709273048695559
P6,42,vote_entropy,auroc,0.7422035312645968
P6,42,vote_entropy,auprc,0.22323690863587176
P6,42,vote_entropy,risk_at_coverage_0_90,0.0709273048695559
P6,42,top_probability_variance,auroc,0.7056776254602288
P6,42,top_probability_variance,auprc,0.15838744852478462
P6,42,top_probability_variance,risk_at_coverage_0_90,0.0844270638024321
P6,42,margin_variance,auroc,0.6904211731288377
P6,42,margin_variance,auprc,0.13449256455832223
P6,42,margin_variance,risk_at_coverage_0_90,0.09267691648363421
P6,43,final_uncertainty,auroc,0.5998784417375472
P6,43,final_uncertainty,auprc,0.25632539031071233
P6,43,final_uncertainty,risk_at_coverage_0_90,0.06707023088873414
P6,43,branch_disagreement,auroc,0.7361077609908361
P6,43,branch_disagreement,auprc,0.2202774529041259
P6,43,branch_disagreement,risk_at_coverage_0_90,0.06653452616917555
P6,43,vote_entropy,auroc,0.7361077609908361
P6,43,vote_entropy,auprc,0.2202774529041259
P6,43,vote_entropy,risk_at_coverage_0_90,0.06653452616917555
P6,43,top_probability_variance,auroc,0.7325443118705321
P6,43,top_probability_variance,auprc,0.16764296135623818
P6,43,top_probability_variance,risk_at_coverage_0_90,0.08051641934965446
P6,43,margin_variance,auroc,0.7180795145936917
P6,43,margin_variance,auprc,0.1421533627992777
P6,43,margin_variance,risk_at_coverage_0_90,0.08769486259173943
P7,41,final_uncertainty,auroc,0.7913073214477787
P7,41,final_uncertainty,auprc,0.3563687302969425
P7,41,final_uncertainty,risk_at_coverage_0_90,0.04488253231971825
P7,41,branch_disagreement,auroc,0.7415707538602152
P7,41,branch_disagreement,auprc,0.21282338153068056
P7,41,branch_disagreement,risk_at_coverage_0_90,0.05858351586994803
P7,41,vote_entropy,auroc,0.7415707538602152
P7,41,vote_entropy,auprc,0.21282338153068056
P7,41,vote_entropy,risk_at_coverage_0_90,0.05858351586994803
P7,41,top_probability_variance,auroc,0.5886056126562138
P7,41,top_probability_variance,auprc,0.09285780504471035
P7,41,top_probability_variance,risk_at_coverage_0_90,0.08121805609242795
P7,41,margin_variance,auroc,0.5781207347486614
P7,41,margin_variance,auprc,0.08874218741117594
P7,41,margin_variance,risk_at_coverage_0_90,0.08529828630331143
P7,42,final_uncertainty,auroc,0.612510586017465
P7,42,final_uncertainty,auprc,0.27443358348778196
P7,42,final_uncertainty,risk_at_coverage_0_90,0.055061632951080186
P7,42,branch_disagreement,auroc,0.7384973112103281
P7,42,branch_disagreement,auprc,0.21423371845953557
