metric,n_donors,mean_difference,ci95_low,ci95_high,paired_t_pvalue,positive_donor_count,negative_donor_count
macro_precision,8,0.001305307082555579,-0.008231090676444694,0.010841704841555852,0.7556499267841491,4,4
macro_recall,8,0.02882824913699042,0.02081915702599728,0.03683734124798356,6.124194154810736e-05,8,0
macro_f1,8,0.016041726795834543,0.011404082956792244,0.02067937063487684,7.90992457380388e-05,8,0
