metric,n_donors,mean_slope,sd_across_donors,ci95_low,ci95_high,statistical_unit,protocol,caveat,source_artifact
accuracy,8,-0.026294638746802993,0.008091226581489598,-0.033059073450574746,-0.01953020404303124,held-out donor after seed averaging,random protein masking at 0/10/30/50/70 percent,"Linear slope is a compact degradation summary over the predeclared random-mask fractions, not a mechanistic fit.",results/tables/mosaic_n_v33_panel_robustness_slopes_2026-07-23.csv
brier,8,0.04107558615202821,0.01158727896485345,0.03138837851265086,0.05076279379140555,held-out donor after seed averaging,random protein masking at 0/10/30/50/70 percent,"Linear slope is a compact degradation summary over the predeclared random-mask fractions, not a mechanistic fit.",results/tables/mosaic_n_v33_panel_robustness_slopes_2026-07-23.csv
ece,8,0.008048924814271163,0.008573804797393421,0.0008810446256810748,0.015216805002861253,held-out donor after seed averaging,random protein masking at 0/10/30/50/70 percent,"Linear slope is a compact degradation summary over the predeclared random-mask fractions, not a mechanistic fit.",results/tables/mosaic_n_v33_panel_robustness_slopes_2026-07-23.csv
macro_f1,8,-0.06237520003306053,0.012972085036192816,-0.07322013452047743,-0.051530265545643626,held-out donor after seed averaging,random protein masking at 0/10/30/50/70 percent,"Linear slope is a compact degradation summary over the predeclared random-mask fractions, not a mechanistic fit.",results/tables/mosaic_n_v33_panel_robustness_slopes_2026-07-23.csv
weighted_f1,8,-0.02626396971120483,0.008483144588710054,-0.033356056068576306,-0.019171883353833352,held-out donor after seed averaging,random protein masking at 0/10/30/50/70 percent,"Linear slope is a compact degradation summary over the predeclared random-mask fractions, not a mechanistic fit.",results/tables/mosaic_n_v33_panel_robustness_slopes_2026-07-23.csv
