feature_set,target_donor,feature,standardized_coefficient,intercept,fit_protocol
uncertainty_conflict_topvar_3f,P6,final_uncertainty,0.6128356927001687,-0.6183939557637109,target donor held out; standardized class-balanced logistic fit on seven other donors
uncertainty_conflict_topvar_3f,P6,branch_disagreement,0.6502850719437975,-0.6183939557637109,target donor held out; standardized class-balanced logistic fit on seven other donors
uncertainty_conflict_topvar_3f,P6,top_probability_variance,0.5772815282048511,-0.6183939557637109,target donor held out; standardized class-balanced logistic fit on seven other donors
uncertainty_conflict_topvar_3f,P7,final_uncertainty,0.5919973789171459,-0.6156162960243166,target donor held out; standardized class-balanced logistic fit on seven other donors
uncertainty_conflict_topvar_3f,P7,branch_disagreement,0.6666210882470106,-0.6156162960243166,target donor held out; standardized class-balanced logistic fit on seven other donors
uncertainty_conflict_topvar_3f,P7,top_probability_variance,0.5947190101352866,-0.6156162960243166,target donor held out; standardized class-balanced logistic fit on seven other donors
uncertainty_conflict_topvar_3f,P8,final_uncertainty,0.6218216050733284,-0.6034571572959508,target donor held out; standardized class-balanced logistic fit on seven other donors
uncertainty_conflict_topvar_3f,P8,branch_disagreement,0.6324320099374401,-0.6034571572959508,target donor held out; standardized class-balanced logistic fit on seven other donors
uncertainty_conflict_topvar_3f,P8,top_probability_variance,0.569323803936643,-0.6034571572959508,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P1,final_uncertainty,0.6376921041282492,-0.6200720768729213,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P1,branch_disagreement,0.6252411955900367,-0.6200720768729213,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P1,top_probability_variance,0.34480199563401115,-0.6200720768729213,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P1,margin_variance,0.2882019618930663,-0.6200720768729213,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P2,final_uncertainty,0.6087850319741169,-0.6078519921597473,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P2,branch_disagreement,0.6402211381503521,-0.6078519921597473,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P2,top_probability_variance,0.3354273090736306,-0.6078519921597473,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P2,margin_variance,0.2876662425894057,-0.6078519921597473,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P3,final_uncertainty,0.6456344162218166,-0.6320412042544049,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P3,branch_disagreement,0.6305156542827831,-0.6320412042544049,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P3,top_probability_variance,0.3179050931401035,-0.6320412042544049,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P3,margin_variance,0.31999020798722183,-0.6320412042544049,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P4,final_uncertainty,0.6454924999910474,-0.6199091072091117,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P4,branch_disagreement,0.6187659783773378,-0.6199091072091117,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P4,top_probability_variance,0.3257665255236705,-0.6199091072091117,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P4,margin_variance,0.3042416000161513,-0.6199091072091117,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P5,final_uncertainty,0.5895894323740105,-0.6092805448929872,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P5,branch_disagreement,0.6562031522602499,-0.6092805448929872,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P5,top_probability_variance,0.31909226410148217,-0.6092805448929872,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P5,margin_variance,0.2901655864553243,-0.6092805448929872,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P6,final_uncertainty,0.6558457212326045,-0.6359311387946747,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P6,branch_disagreement,0.6229110469759828,-0.6359311387946747,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P6,top_probability_variance,0.27489026487174806,-0.6359311387946747,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P6,margin_variance,0.35763928561970565,-0.6359311387946747,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P7,final_uncertainty,0.6294157412724409,-0.6305021218615168,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P7,branch_disagreement,0.6433364078856194,-0.6305021218615168,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P7,top_probability_variance,0.321442666707387,-0.6305021218615168,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P7,margin_variance,0.3226455288815382,-0.6305021218615168,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P8,final_uncertainty,0.656227289640567,-0.615925527603682,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P8,branch_disagreement,0.6096413322015307,-0.615925527603682,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P8,top_probability_variance,0.3354680279755251,-0.615925527603682,target donor held out; standardized class-balanced logistic fit on seven other donors
all_four_audit_features,P8,margin_variance,0.28002966427060905,-0.615925527603682,target donor held out; standardized class-balanced logistic fit on seven other donors
