test_donor,seed,scenario,mask_fraction,n_masked_proteins,n_test,accuracy,weighted_f1,macro_f1,ece,brier,full_accuracy,delta_accuracy,full_weighted_f1,delta_weighted_f1,full_macro_f1,delta_macro_f1,full_ece,delta_ece,full_brier,delta_brier
P1,41,full,0.0,0,18135,0.9041632202922526,0.9020837756699149,0.8000956288136782,0.06548613020382474,0.1704728752374649,0.9041632202922526,0.0,0.9020837756699149,0.0,0.8000956288136782,0.0,0.06548613020382474,0.0,0.1704728752374649,0.0
P1,41,random_10,0.1,22,18135,0.8994210090984285,0.8971844549347616,0.793193867779117,0.06681915671085241,0.1756858080625534,0.9041632202922526,-0.00474221119382412,0.9020837756699149,-0.004899320735153312,0.8000956288136782,-0.0069017610345611935,0.06548613020382474,0.001333026507027671,0.1704728752374649,0.005212932825088501
P1,41,random_30,0.3,67,18135,0.9009649848359526,0.8986298991144234,0.7945238511312289,0.06683190704903917,0.17430467903614044,0.9041632202922526,-0.003198235456300047,0.9020837756699149,-0.003453876555491564,0.8000956288136782,-0.005571777682449319,0.06548613020382474,0.001345776845214433,0.1704728752374649,0.003831803798675537
P1,41,random_50,0.5,112,18135,0.8950096498483595,0.8927218384761365,0.7779553115615357,0.0663016436113646,0.18188093602657318,0.9041632202922526,-0.009153570443893089,0.9020837756699149,-0.009361937193778425,0.8000956288136782,-0.022140317252142494,0.06548613020382474,0.0008155134075398668,0.1704728752374649,0.011408060789108276
P1,41,random_70,0.7,157,18135,0.8889991728701406,0.8862932749125061,0.7662946570343074,0.074479663217564,0.1892818808555603,0.9041632202922526,-0.01516404742211197,0.9020837756699149,-0.015790500757408843,0.8000956288136782,-0.0338009717793708,0.06548613020382474,0.008993533013739258,0.1704728752374649,0.018809005618095398
P1,41,marker_memory,,6,18135,0.9023435346015991,0.9004809601749663,0.8017191045952853,0.06406868431960581,0.17297540605068207,0.9041632202922526,-0.0018196856906534942,0.9020837756699149,-0.0016028154949486728,0.8000956288136782,0.0016234757816070422,0.06548613020382474,-0.0014174458842189236,0.1704728752374649,0.002502530813217163
P1,41,marker_tcell,,15,18135,0.8979873173421561,0.8963162966303662,0.7852825184590734,0.06733802650991735,0.17797085642814636,0.9041632202922526,-0.006175902950096512,0.9020837756699149,-0.005767479039548773,0.8000956288136782,-0.014813110354604864,0.06548613020382474,0.0018518963060926152,0.1704728752374649,0.0074979811906814575
P1,41,rna_only,1.0,224,18135,0.8813895781637717,0.8797092001795371,0.7560602497175201,0.09572159144231396,0.19673939049243927,0.9041632202922526,-0.022773642128480875,0.9020837756699149,-0.0223745754903778,0.8000956288136782,-0.04403537909615818,0.06548613020382474,0.03023546123848922,0.1704728752374649,0.026266515254974365
P1,42,full,0.0,0,18135,0.9070857457954232,0.9067547339156138,0.8116606787910956,0.058990935286543464,0.15748213231563568,0.9070857457954232,0.0,0.9067547339156138,0.0,0.8116606787910956,0.0,0.058990935286543464,0.0,0.15748213231563568,0.0
P1,42,random_10,0.1,22,18135,0.9048800661703887,0.9049018207882114,0.8047425169063157,0.06036384665410578,0.16028828918933868,0.9070857457954232,-0.0022056796250344846,0.9067547339156138,-0.0018529131274024335,0.8116606787910956,-0.006918161884779894,0.058990935286543464,0.0013729113675623184,0.15748213231563568,0.002806156873703003
P1,42,random_30,0.3,67,18135,0.9019575406672181,0.901033023314602,0.8005591139274586,0.06422205653636294,0.165547177195549,0.9070857457954232,-0.00512820512820511,0.9067547339156138,-0.005721710601011787,0.8116606787910956,-0.011101564863637003,0.058990935286543464,0.005231121249819476,0.15748213231563568,0.00806504487991333
P1,42,random_50,0.5,112,18135,0.8958367797077474,0.8946490355312561,0.7947388902829794,0.06916761531674041,0.1769193410873413,0.9070857457954232,-0.011248966087675782,0.9067547339156138,-0.01210569838435771,0.8116606787910956,-0.01692178850811621,0.058990935286543464,0.01017668003019695,0.15748213231563568,0.019437208771705627
