metric,n_pairs,without_hsr_mean,learned_hsr_mean,mean_delta,delta_sd,delta_ci95_low,delta_ci95_high,paired_t_statistic,paired_t_pvalue_two_sided,wilcoxon_pvalue_greater,positive_delta_count,negative_delta_count,zero_delta_count
accuracy,10,0.9199733333333333,0.9208533333333333,0.0008799999999999474,0.0016548618979342652,-0.00030381688708510995,0.002063816887085005,1.6815930951227611,0.12694433932186178,0.1162109375,6,4,0
weighted_f1,10,0.9190333875280414,0.9199991165752852,0.0009657290472436797,0.001600278724006765,-0.0001790413894235301,0.0021104994839108897,1.9083571793218888,0.0886944735036993,0.1162109375,5,5,0
macro_f1,10,0.84313455831363,0.8436985495228972,0.0005639912092673227,0.008897528511140408,-0.005800917257086875,0.006928899675621521,0.20044856269517147,0.845586174077196,0.4609375,6,4,0
