class_label,modality,marker_group,representative_markers,available_panel_markers,n_representative_markers,n_available_panel_markers,top20_attribution_features,top20_marker_hits,top20_marker_fraction,n_correct_attribution_cells,n_checkpoint_runs_with_correct_cells,n_checkpoint_runs,mean_f1,total_test_support,mean_rna_weight,mean_adt_weight,mean_fusion_weight,interpretation,source
B memory lambda,RNA,b_cell,MS4A1;CD79A;CD79B;CD37,MS4A1;CD79A;CD79B;CD37,4,4,EPN1;ZNF787;RPS5;IGLC3;CHMP2A;MAL;IGLC2;CKB;TMEM238;A1BG;RPL28;IFI44L;IFI44;CDC42BPB;RCOR1;GNAZ;TNFAIP2;TMEM127;TMSB10;VAMP8,0,0.0,192,24,24,0.8697293010539311,1248,0.22914621770833335,0.027074962283333337,0.7437788133333334,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
B memory lambda,ADT,b_cell,CD19;CD20;CD79a;CD79b;HLA-DR;CD27;CD45RO,CD19;CD20;CD79a;CD79b;HLA-DR;CD27;CD45RO,7,7,CD73;CD35;Integrin-7;CD71;IgD;CD72;IgM;CD22;CD45RA;CD196;CD45-2;CD19;CD49d;CD305;CD27;CD275-2;CD25;CD43;CD18;CD1c,2,0.2857142857142857,192,24,24,0.8697293010539311,1248,0.22914621770833335,0.027074962283333337,0.7437788133333334,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
B naive kappa,RNA,b_cell,MS4A1;CD79A;CD79B;CD37,MS4A1;CD79A;CD79B;CD37,4,4,TMEM127;TMSB10;ZNF787;CD8A;AC133644.2;MAL;IGKC;VAMP8;EPN1;IGHD;AC012236.1;RPL28;IGLC3;IGHM;TNFAIP2;ATP5MPL;SARAF;CHMP2A;RPS5;TST,0,0.0,192,24,24,0.899897014846508,4852,0.21285229733333333,0.03681964365833334,0.7503280629166666,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
B naive kappa,ADT,b_cell,CD19;CD20;CD79a;CD79b;HLA-DR;IgD;IgM,CD19;CD20;CD79a;CD79b;HLA-DR;IgD;IgM,7,7,CD73;CD72;IgD;CD22;Integrin-7;CD305;CD200;CD18;CD27;CD45RA;IgM;CD19;CD196;HLA-DR;CD275-2;CD45-2;CD99;CD71;CD43;CD25,4,0.5714285714285714,192,24,24,0.899897014846508,4852,0.21285229733333333,0.03681964365833334,0.7503280629166666,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
B naive lambda,RNA,b_cell,MS4A1;CD79A;CD79B;CD37,MS4A1;CD79A;CD79B;CD37,4,4,ZNF787;TMEM127;EPN1;RPS5;IGLC3;TMEM238;RPL28;A1BG;GNAZ;TMSB10;MAL;CHMP2A;VAMP8;AC133644.2;CKB;SLC24A4;IGLC2;TNFAIP2;TCL1A;TC2N,0,0.0,192,24,24,0.8507633438951787,2866,0.21055731475000003,0.046427860520833336,0.7430148241666666,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
B naive lambda,ADT,b_cell,CD19;CD20;CD79a;CD79b;HLA-DR;IgD;IgM,CD19;CD20;CD79a;CD79b;HLA-DR;IgD;IgM,7,7,CD73;CD18;CD72;IgD;CD38-1;CD27;IgM;CD275-2;CD38-2;Integrin-7;CD19;CD22;CD43;CD200;CD44-2;CD71;CD196;CD44-1;CD81;CD2,3,0.42857142857142855,192,24,24,0.8507633438951787,2866,0.21055731475000003,0.046427860520833336,0.7430148241666666,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD14 Mono,RNA,mono,LYZ;S100A8;S100A9;FCN1;CTSS,LYZ;S100A8;S100A9;FCN1;CTSS,5,5,CLEC10A;FCER1A;S100A8;CDCA2;S100A9;S100A11;SNX27;MS4A6A;GSN;MTMR11;NDRG2;SLC43A3;STAB1;RPL37;CTSS;ACTN1;S100A12;ERCC1;SLC27A3;UQCRC1,3,0.6,192,24,24,0.9858501131724768,42690,0.20658649308333332,0.13633624462500002,0.6570772562499999,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD14 Mono,ADT,mono,CD14;CD16;CD64;CD11b;HLA-DR,CD14;CD16;CD64;CD11b;HLA-DR,5,5,CD45-2;CD14;CD64;CD93;CD71;CD11b-1;CD305;CD11b-2;CD55;CD35;CD18;CLEC12A;CD95;Integrin-7;CD49d;CD103;CD99;CD81;CD47;CD48,3,0.6,192,24,24,0.9858501131724768,42690,0.20658649308333332,0.13633624462500002,0.6570772562499999,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD16 Mono,RNA,mono,LYZ;S100A8;S100A9;FCN1;CTSS,LYZ;S100A8;S100A9;FCN1;CTSS,5,5,HES4;LSP1;SLAMF7;HSPA6;FCGR3A;SH2D1B;RPLP2;GSTO1;FAM111B;CDA;SCML4;CD244;CELF1;TRIM8;MS4A7;TNFRSF8;ETS1;CDH23;MPEG1;CTNND1,0,0.0,192,24,24,0.9415069383729904,6320,0.23802453708333335,0.08425274645833332,0.6777227225,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD16 Mono,ADT,mono,CD14;CD16;CD64;CD11b;HLA-DR,CD14;CD16;CD64;CD11b;HLA-DR,5,5,CD16;CD49d;CD99;HLA-DR;CD43;CD31;CD45-2;MERTK;CD71;CX3CR1;CD172a;CD305;CD55;GP130;CD39;Integrin-7;CD44-2;CD47;CD29;CD102,2,0.4,192,24,24,0.9415069383729904,6320,0.23802453708333335,0.08425274645833332,0.6777227225,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
