test_donor,method,seed,macro_precision,macro_recall,macro_f1,n_supported_classes,source_artifact
P6,mosaic_full,42,0.8085092072379737,0.7745458217140032,0.781618937564248,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P6/mosaic_full_seed42/per_class_metrics.csv
P6,mosaic_full,43,0.8177446111879476,0.7855899987852697,0.7896334694724965,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P6/mosaic_full_seed43/per_class_metrics.csv
P7,mlp,41,0.8345427257645589,0.7746301585803943,0.7898913211733573,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P7/mlp_seed41/per_class_metrics.csv
P7,mlp,42,0.8362165610326072,0.7771677129337156,0.7934197770369067,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P7/mlp_seed42/per_class_metrics.csv
P7,mlp,43,0.844478769193599,0.7814659124871624,0.7957657648218585,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P7/mlp_seed43/per_class_metrics.csv
P7,mosaic_full,41,0.8440413693675126,0.8016970559959812,0.8033932853658061,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P7/mosaic_full_seed41/per_class_metrics.csv
P7,mosaic_full,42,0.8567647639987149,0.8031782185573457,0.8209738132660543,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P7/mosaic_full_seed42/per_class_metrics.csv
P7,mosaic_full,43,0.8357185077668159,0.8292368348056823,0.8246446260673931,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P7/mosaic_full_seed43/per_class_metrics.csv
P8,mlp,41,0.8696019164972444,0.7912587660905374,0.8124615891961766,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P8/mlp_seed41/per_class_metrics.csv
P8,mlp,42,0.8344222170039459,0.7767966395456815,0.794186319473953,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P8/mlp_seed42/per_class_metrics.csv
P8,mlp,43,0.8404257041514419,0.7896883725985042,0.8042876599798068,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P8/mlp_seed43/per_class_metrics.csv
P8,mosaic_full,41,0.841639657574827,0.8111836626173589,0.8177673598433656,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P8/mosaic_full_seed41/per_class_metrics.csv
P8,mosaic_full,42,0.8719502160412602,0.8099305750325068,0.8266737968776542,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P8/mosaic_full_seed42/per_class_metrics.csv
P8,mosaic_full,43,0.852986342187249,0.8074194576898772,0.817646310908197,58,results/exp_generalization/mosaic_n_v33/donor_matrix/test_P8/mosaic_full_seed43/per_class_metrics.csv
