reference,comparator,metric,n_donors,reference_mean,comparator_mean,mean_difference,difference_ci95_low,difference_ci95_high,difference_ci95_margin,paired_t_pvalue,wilcoxon_pvalue,positive_donor_count,negative_donor_count,zero_donor_count
MOSAIC without KD,MLP matched protocol,accuracy,8,0.9134174000674231,0.9102998467234271,0.003117553343996035,0.00033543622029877027,0.0058996704676933,0.002782117123697265,0.0329548965219397,0.0390625,6,2,0
MOSAIC without KD,MLP matched protocol,weighted_f1,8,0.91213144836443,0.9091520475701659,0.0029794007942642725,0.00039340964700932497,0.00556539194151922,0.0025859911472549475,0.02957879621063116,0.0234375,7,1,0
MOSAIC without KD,MLP matched protocol,macro_f1,8,0.8110359996596321,0.796079977697076,0.014956021962556326,0.00911120923608185,0.020800834689030802,0.0058448127264744765,0.000515587779624855,0.0078125,8,0,0
MOSAIC without KD,MLP matched protocol,balanced_accuracy,8,0.807851267505842,0.8010740097038818,0.006777257801960271,0.0002653431669835714,0.013289172436936971,0.006511914634976699,0.04340315983054164,0.0390625,7,1,0
