test_donor,seed,scenario,mask_fraction,n_masked_proteins,n_test,accuracy,weighted_f1,macro_f1,ece,brier,full_accuracy,delta_accuracy,full_weighted_f1,delta_weighted_f1,full_macro_f1,delta_macro_f1,full_ece,delta_ece,full_brier,delta_brier
P1,41,full,0.0,0,18135,0.9141990625861594,0.9141482443113407,0.8110430002788572,0.07383542908578992,0.15200263261795044,0.9141990625861594,0.0,0.9141482443113407,0.0,0.8110430002788572,0.0,0.07383542908578992,0.0,0.15200263261795044,0.0
P1,41,random_10,0.1,22,18135,0.9056520540391508,0.9051731363240418,0.8116869214696352,0.07149060746264056,0.16413968801498413,0.9141990625861594,-0.008547008547008517,0.9141482443113407,-0.008975107987298836,0.8110430002788572,0.0006439211907779407,0.07383542908578992,-0.0023448216231493624,0.15200263261795044,0.012137055397033691
P1,41,random_30,0.3,67,18135,0.9046594982078853,0.9041536034358709,0.8033471232381558,0.07128581217343002,0.1651284545660019,0.9141990625861594,-0.009539564378274079,0.9141482443113407,-0.009994640875469751,0.8110430002788572,-0.007695877040701404,0.07383542908578992,-0.0025496169123599005,0.15200263261795044,0.013125821948051453
P1,41,random_50,0.5,112,18135,0.895230217810863,0.8955618019553088,0.7857592410484273,0.07563963299296203,0.18055808544158936,0.9141990625861594,-0.018968844775296367,0.9141482443113407,-0.018586442356031907,0.8110430002788572,-0.025283759230429914,0.07383542908578992,0.0018042039071721055,0.15200263261795044,0.028555452823638916
P1,41,random_70,0.7,157,18135,0.892859112213951,0.8918715426436357,0.7677388922026157,0.06961774717177244,0.18294739723205566,0.9141990625861594,-0.02133995037220837,0.9141482443113407,-0.022276701667705012,0.8110430002788572,-0.04330410807624152,0.07383542908578992,-0.004217681914017488,0.15200263261795044,0.030944764614105225
P1,41,marker_memory,,6,18135,0.9106148331954783,0.9102903882187691,0.8055328991490425,0.07104993956556391,0.1573486626148224,0.9141990625861594,-0.0035842293906810374,0.9141482443113407,-0.00385785609257161,0.8110430002788572,-0.0055101011298147595,0.07383542908578992,-0.002785489520226017,0.15200263261795044,0.005346029996871948
P1,41,marker_tcell,,15,18135,0.9022332506203474,0.9030728941041615,0.7860979056156377,0.0764836946539817,0.16971637308597565,0.9141990625861594,-0.011965811965811923,0.9141482443113407,-0.011075350207179202,0.8110430002788572,-0.02494509466321948,0.07383542908578992,0.0026482655681917683,0.15200263261795044,0.017713740468025208
P1,41,rna_only,1.0,224,18135,0.8843121036669424,0.8840279622121814,0.7626402397006471,0.11460169812133891,0.1987019032239914,0.9141990625861594,-0.029886958919217,0.9141482443113407,-0.03012028209915929,0.8110430002788572,-0.048402760578210136,0.07383542908578992,0.04076626903554899,0.15200263261795044,0.046699270606040955
P1,42,full,0.0,0,18135,0.9109456851392336,0.9118077587062279,0.8080714372301046,0.08268836163968332,0.1501840054988861,0.9109456851392336,0.0,0.9118077587062279,0.0,0.8080714372301046,0.0,0.08268836163968332,0.0,0.1501840054988861,0.0
P1,42,random_10,0.1,22,18135,0.9064791838985388,0.907540442486533,0.8127250758495561,0.08406563878864634,0.15823066234588623,0.9109456851392336,-0.004466501240694809,0.9118077587062279,-0.004267316219694894,0.8080714372301046,0.004653638619451561,0.08268836163968332,0.0013772771489630187,0.1501840054988861,0.008046656847000122
P1,42,random_30,0.3,67,18135,0.9014061207609595,0.9019435885100685,0.8107329933398042,0.08495800006741297,0.16555947065353394,0.9109456851392336,-0.009539564378274079,0.9118077587062279,-0.009864170196159372,0.8080714372301046,0.0026615561096996476,0.08268836163968332,0.0022696384277296477,0.1501840054988861,0.015375465154647827
P1,42,random_50,0.5,112,18135,0.8950096498483595,0.8950296277701358,0.7777904072690206,0.10015720775223053,0.1748543530702591,0.9109456851392336,-0.015936035290874062,0.9118077587062279,-0.01677813093609204,0.8080714372301046,-0.03028102996108395,0.08268836163968332,0.017468846112547204,0.1501840054988861,0.024670347571372986
P1,42,random_70,0.7,157,18135,0.8824372759856631,0.8830902088599616,0.7609582832985027,0.10816514587431923,0.1975371390581131,0.9109456851392336,-0.028508409153570446,0.9118077587062279,-0.028717549846266288,0.8080714372301046,-0.04711315393160187,0.08268836163968332,0.02547678423463591,0.1501840054988861,0.04735313355922699
P1,42,marker_memory,,6,18135,0.9069203198235456,0.9076335894773443,0.8051116450954979,0.09007705871333163,0.15778745710849762,0.9109456851392336,-0.004025365315687979,0.9118077587062279,-0.004174169228883584,0.8080714372301046,-0.0029597921346066203,0.08268836163968332,0.007388697073648309,0.1501840054988861,0.007603451609611511
P1,42,marker_tcell,,15,18135,0.8955610697546181,0.897371986280968,0.7687591021240647,0.09398287137144024,0.1760304719209671,0.9109456851392336,-0.015384615384615441,0.9118077587062279,-0.01443577242525984,0.8080714372301046,-0.03931233510603982,0.08268836163968332,0.011294509731756913,0.1501840054988861,0.025846466422080994
P1,42,rna_only,1.0,224,18135,0.8781362007168458,0.8793368419709318,0.7522110482720722,0.14531285672854022,0.2143065631389618,0.9109456851392336,-0.032809484422387736,0.9118077587062279,-0.03247091673529612,0.8080714372301046,-0.05586038895803236,0.08268836163968332,0.0626244950888569,0.1501840054988861,0.06412255764007568
P1,43,full,0.0,0,18135,0.9112213950923629,0.9103885162635358,0.8082371266317265,0.06891235683143122,0.15708790719509125,0.9112213950923629,0.0,0.9103885162635358,0.0,0.8082371266317265,0.0,0.06891235683143122,0.0,0.15708790719509125,0.0
P1,43,random_10,0.1,22,18135,0.9071960297766749,0.9060265182219692,0.7974256342422542,0.06947722980839377,0.1651335209608078,0.9112213950923629,-0.004025365315687979,0.9103885162635358,-0.004361998041566562,0.8082371266317265,-0.010811492389472321,0.06891235683143122,0.0005648729769625466,0.15708790719509125,0.008045613765716553
P1,43,random_30,0.3,67,18135,0.9020678246484698,0.9008140341469428,0.7940498101799014,0.0696510122660142,0.1699361652135849,0.9112213950923629,-0.009153570443893089,0.9103885162635358,-0.009574482116592953,0.8082371266317265,-0.014187316451825138,0.06891235683143122,0.0007386554345829716,0.15708790719509125,0.012848258018493652
P1,43,random_50,0.5,112,18135,0.8955059277639923,0.8936435588305288,0.7756734823663552,0.06383997429155072,0.18280671536922455,0.9112213950923629,-0.01571546732837059,0.9103885162635358,-0.01674495743300697,0.8082371266317265,-0.03256364426537128,0.06891235683143122,-0.005072382539880502,0.15708790719509125,0.0257188081741333
P1,43,random_70,0.7,157,18135,0.8850840915357044,0.8847184064890734,0.7495417799013979,0.07463636705171711,0.19721567630767822,0.9112213950923629,-0.026137303556658442,0.9103885162635358,-0.02567010977446238,0.8082371266317265,-0.05869534673032861,0.06891235683143122,0.005724010220285888,0.15708790719509125,0.040127769112586975
P1,43,marker_memory,,6,18135,0.9068651778329198,0.9059683110052409,0.8039422166966588,0.07127675101847106,0.16364964842796326,0.9112213950923629,-0.004356217259443129,0.9103885162635358,-0.004420205258294896,0.8082371266317265,-0.004294909935067759,0.06891235683143122,0.002364394187039834,0.15708790719509125,0.006561741232872009
P1,43,marker_tcell,,15,18135,0.9007444168734491,0.9001602365168259,0.7811550553927182,0.07235826108042849,0.17175130546092987,0.9112213950923629,-0.010476978218913802,0.9103885162635358,-0.010228279746709923,0.8082371266317265,-0.0270820712390083,0.06891235683143122,0.003445904248997267,0.15708790719509125,0.014663398265838623
P1,43,rna_only,1.0,224,18135,0.8855803694513372,0.885011394955547,0.7503781841794553,0.11219245912632995,0.19777455925941467,0.9112213950923629,-0.02564102564102566,0.9103885162635358,-0.025377121307988748,0.8082371266317265,-0.05785894245227119,0.06891235683143122,0.04328010229489873,0.15708790719509125,0.040686652064323425
P2,41,full,0.0,0,17205,0.9145015983725661,0.9145045541527477,0.82503439522081,0.07369096568593174,0.13914898037910461,0.9145015983725661,0.0,0.9145045541527477,0.0,0.82503439522081,0.0,0.07369096568593174,0.0,0.13914898037910461,0.0
P2,41,random_10,0.1,22,17205,0.9113629758791049,0.9118926110681776,0.8214199830742599,0.07474617045204919,0.14428479969501495,0.9145015983725661,-0.003138622493461196,0.9145045541527477,-0.002611943084570023,0.82503439522081,-0.0036144121465501167,0.07369096568593174,0.0010552047661174513,0.13914898037910461,0.005135819315910339
P2,41,random_30,0.3,67,17205,0.9065969195001453,0.9072476959356502,0.813282889927162,0.08589904868985566,0.153802752494812,0.9145015983725661,-0.007904678872420745,0.9145045541527477,-0.007256858217097428,0.82503439522081,-0.01175150529364799,0.07369096568593174,0.012208083003923925,0.13914898037910461,0.014653772115707397
P2,41,random_50,0.5,112,17205,0.8975879104911363,0.8977230857053334,0.7813830742538667,0.09767893047327222,0.171549454331398,0.9145015983725661,-0.016913687881429773,0.9145045541527477,-0.01678146844741424,0.82503439522081,-0.04365132096694335,0.07369096568593174,0.023987964787340485,0.13914898037910461,0.032400473952293396
P2,41,random_70,0.7,157,17205,0.8950886370241209,0.8969273803770913,0.7748821028872664,0.097147792755726,0.17394563555717468,0.9145015983725661,-0.019412961348445168,0.9145045541527477,-0.017577173775656374,0.82503439522081,-0.05015229233354357,0.07369096568593174,0.023456827069794267,0.13914898037910461,0.03479665517807007
P2,41,marker_memory,,6,17205,0.9118860796280152,0.9118348718614792,0.8147497036872757,0.07955870310976489,0.14221324026584625,0.9145015983725661,-0.0026155187445509043,0.9145045541527477,-0.002669682291268516,0.82503439522081,-0.010284691533534285,0.07369096568593174,0.005867737423833147,0.13914898037910461,0.003064259886741638
P2,41,marker_tcell,,15,17205,0.8982853821563499,0.9001492441355505,0.7946978561583088,0.08510075403711403,0.16554813086986542,0.9145015983725661,-0.01621621621621616,0.9145045541527477,-0.014355310017197143,0.82503439522081,-0.030336539062501222,0.07369096568593174,0.011409788351182296,0.13914898037910461,0.026399150490760803
P2,41,rna_only,1.0,224,17205,0.8881139203719849,0.88933321191536,0.7681223739131539,0.1361274815673608,0.19388987123966217,0.9145015983725661,-0.026387678000581172,0.9145045541527477,-0.025171342237387706,0.82503439522081,-0.05691202130765616,0.07369096568593174,0.06243651588142905,0.13914898037910461,0.054740890860557556
P2,42,full,0.0,0,17205,0.9118279569892473,0.9103116021506772,0.8144028425311443,0.06067546932494978,0.1426803171634674,0.9118279569892473,0.0,0.9103116021506772,0.0,0.8144028425311443,0.0,0.06067546932494978,0.0,0.1426803171634674,0.0
P2,42,random_10,0.1,22,17205,0.9108398721301947,0.9093694642482347,0.8109621833120059,0.062393654177473626,0.14370253682136536,0.9118279569892473,-0.0009880848590526625,0.9103116021506772,-0.0009421379024424636,0.8144028425311443,-0.0034406592191383867,0.06067546932494978,0.0017181848525238477,0.1426803171634674,0.0010222196578979492
P2,42,random_30,0.3,67,17205,0.9034001743679163,0.9026872259206837,0.8019818281591897,0.06930629176149115,0.15681058168411255,0.9118279569892473,-0.008427782621331037,0.9103116021506772,-0.007624376229993457,0.8144028425311443,-0.01242101437195453,0.06067546932494978,0.008630822436541376,0.1426803171634674,0.014130264520645142
P2,42,random_50,0.5,112,17205,0.9002615518744551,0.8992358733236073,0.7879737657639264,0.0728526449348995,0.16268305480480194,0.9118279569892473,-0.011566405114792233,0.9103116021506772,-0.011075728827069864,0.8144028425311443,-0.02642907676721784,0.06067546932494978,0.012177175609949721,0.1426803171634674,0.020002737641334534
P2,42,random_70,0.7,157,17205,0.8915431560592851,0.8908722453182396,0.7693395352038168,0.07959671377815226,0.1770118921995163,0.9118279569892473,-0.02028480092996221,0.9103116021506772,-0.019439356832437582,0.8144028425311443,-0.04506330732732744,0.06067546932494978,0.018921244453202486,0.1426803171634674,0.03433157503604889
P2,42,marker_memory,,6,17205,0.9085149665794827,0.9070157730962888,0.8107260257063792,0.06426836890827534,0.14870597422122955,0.9118279569892473,-0.0033129904097646268,0.9103116021506772,-0.0032958290543884106,0.8144028425311443,-0.0036768168247650612,0.06067546932494978,0.003592899583325558,0.1426803171634674,0.006025657057762146
P2,42,marker_tcell,,15,17205,0.8990990990990991,0.8990801942177752,0.8045651727340689,0.06749419520861599,0.16570772230625153,0.9118279569892473,-0.012728857890148215,0.9103116021506772,-0.011231407932902004,0.8144028425311443,-0.009837669797075344,0.06067546932494978,0.006818725883666214,0.1426803171634674,0.02302740514278412
P2,42,rna_only,1.0,224,17205,0.8854984016274339,0.885495070388609,0.7731057921022625,0.12079031620368437,0.1972164511680603,0.9118279569892473,-0.026329555361813473,0.9103116021506772,-0.024816531762068217,0.8144028425311443,-0.041297050428881765,0.06067546932494978,0.06011484687873459,0.1426803171634674,0.054536134004592896
P2,43,full,0.0,0,17205,0.9183376925312409,0.9169782774928307,0.8245633984035485,0.06324551576135186,0.14490099251270294,0.9183376925312409,0.0,0.9169782774928307,0.0,0.8245633984035485,0.0,0.06324551576135186,0.0,0.14490099251270294,0.0
P2,43,random_10,0.1,22,17205,0.9150247021214764,0.9138582017534318,0.8170176422429715,0.06462842187660443,0.1492348313331604,0.9183376925312409,-0.0033129904097645158,0.9169782774928307,-0.0031200757393988754,0.8245633984035485,-0.007545756160577066,0.06324551576135186,0.0013829061152525746,0.14490099251270294,0.0043338388204574585
P2,43,random_30,0.3,67,17205,0.9100842778262133,0.9090083208620227,0.8092357843955114,0.061683739230266266,0.15502004325389862,0.9183376925312409,-0.008253414705027606,0.9169782774928307,-0.007969956630808017,0.8245633984035485,-0.015327614008037171,0.06324551576135186,-0.001561776531085593,0.14490099251270294,0.010119050741195679
P2,43,random_50,0.5,112,17205,0.9034001743679163,0.9016074410642358,0.7918897373958709,0.0547170813755392,0.16637615859508514,0.9183376925312409,-0.014937518163324559,0.9169782774928307,-0.015370836428594825,0.8245633984035485,-0.03267366100767766,0.06324551576135186,-0.008528434385812661,0.14490099251270294,0.021475166082382202
P2,43,random_70,0.7,157,17205,0.8972972972972973,0.895365855388849,0.7863182308482737,0.05905317092437244,0.17666152119636536,0.9183376925312409,-0.02104039523394352,0.9169782774928307,-0.02161242210398162,0.8245633984035485,-0.03824516755527485,0.06324551576135186,-0.004192344836979417,0.14490099251270294,0.031760528683662415
P2,43,marker_memory,,6,17205,0.9139203719848881,0.912130091448361,0.8189127411457418,0.06486859685700495,0.15160982310771942,0.9183376925312409,-0.004417320546352799,0.9169782774928307,-0.004848186044469682,0.8245633984035485,-0.005650657257806779,0.06324551576135186,0.001623081095653095,0.14490099251270294,0.0067088305950164795
P2,43,marker_tcell,,15,17205,0.9092124382446963,0.9084199051966555,0.8066179509286018,0.06211666497284157,0.15531979501247406,0.9183376925312409,-0.009125254286544537,0.9169782774928307,-0.008558372296175176,0.8245633984035485,-0.017945447474946752,0.06324551576135186,-0.0011288507885102855,0.14490099251270294,0.010418802499771118
P2,43,rna_only,1.0,224,17205,0.8931705899447835,0.8916387796412616,0.7831035545064968,0.0754799079324263,0.177116259932518,0.9183376925312409,-0.02516710258645738,0.9169782774928307,-0.02533949785156908,0.8245633984035485,-0.04145984389705171,0.06324551576135186,0.012234392171074443,0.14490099251270294,0.032215267419815063
P3,41,full,0.0,0,14660,0.9038881309686221,0.9006726921511017,0.7985879566133259,0.06777470598726609,0.15684610605239868,0.9038881309686221,0.0,0.9006726921511017,0.0,0.7985879566133259,0.0,0.06777470598726609,0.0,0.15684610605239868,0.0
P3,41,random_10,0.1,22,14660,0.8923601637107776,0.886567783930457,0.7706925235216121,0.06497695545931466,0.1740456074476242,0.9038881309686221,-0.01152796725784444,0.9006726921511017,-0.014104908220644696,0.7985879566133259,-0.027895433091713828,0.06777470598726609,-0.002797750527951434,0.15684610605239868,0.017199501395225525
P3,41,random_30,0.3,67,14660,0.8997271487039563,0.8983890847587236,0.7868917814557662,0.08945030935393268,0.16932407021522522,0.9038881309686221,-0.004160982264665769,0.9006726921511017,-0.0022836073923780953,0.7985879566133259,-0.011696175157559718,0.06777470598726609,0.021675603366666588,0.15684610605239868,0.012477964162826538
P3,41,random_50,0.5,112,14660,0.883356070941337,0.8788455554517586,0.7474931282891737,0.07002678726320784,0.19047731161117554,0.9038881309686221,-0.020532060027285137,0.9006726921511017,-0.021827136699343108,0.7985879566133259,-0.05109482832415224,0.06777470598726609,0.0022520812759417447,0.15684610605239868,0.033631205558776855
P3,41,random_70,0.7,157,14660,0.880218281036835,0.8834098149557174,0.7389090277811168,0.09615737269257701,0.19433611631393433,0.9038881309686221,-0.023669849931787112,0.9006726921511017,-0.01726287719538433,0.7985879566133259,-0.059678928832209155,0.06777470598726609,0.02838266670531092,0.15684610605239868,0.037490010261535645
P3,41,marker_memory,,6,14660,0.9017053206002729,0.8996169113124166,0.7834468961520447,0.07935254415865646,0.16209948062896729,0.9038881309686221,-0.0021828103683492195,0.9006726921511017,-0.001055780838685072,0.7985879566133259,-0.015141060461281275,0.06777470598726609,0.011577838171390367,0.15684610605239868,0.0052533745765686035
P3,41,marker_tcell,,15,14660,0.8899727148703956,0.8891850985432158,0.7665723783013527,0.07629403002753267,0.17970047891139984,0.9038881309686221,-0.01391541609822644,0.9006726921511017,-0.011487593607885871,0.7985879566133259,-0.032015578311973214,0.06777470598726609,0.008519324040266577,0.15684610605239868,0.02285437285900116
P3,41,rna_only,1.0,224,14660,0.8837653478854025,0.882528494432779,0.7320000588091449,0.13685402955458403,0.2047072798013687,0.9038881309686221,-0.020122783083219575,0.9006726921511017,-0.018144197718322652,0.7985879566133259,-0.06658789780418106,0.06777470598726609,0.06907932356731794,0.15684610605239868,0.04786117374897003
P3,42,full,0.0,0,14660,0.906343792633015,0.9010726565903407,0.7862420370465021,0.05891582619647864,0.16634906828403473,0.906343792633015,0.0,0.9010726565903407,0.0,0.7862420370465021,0.0,0.05891582619647864,0.0,0.16634906828403473,0.0
P3,42,random_10,0.1,22,14660,0.9040245566166439,0.8989139458880868,0.7715983911920973,0.05959292984228343,0.16946573555469513,0.906343792633015,-0.0023192360163710735,0.9010726565903407,-0.00215871070225393,0.7862420370465021,-0.014643645854404808,0.05891582619647864,0.0006771036458047899,0.16634906828403473,0.0031166672706604004
P3,42,random_30,0.3,67,14660,0.8891541609822646,0.881886659475211,0.7507468221047916,0.05264775458453949,0.194081649184227,0.906343792633015,-0.01718963165075038,0.9010726565903407,-0.019185997115129694,0.7862420370465021,-0.035495214941710485,0.05891582619647864,-0.006268071611939152,0.16634906828403473,0.02773258090019226
P3,42,random_50,0.5,112,14660,0.8892223738062756,0.8825780628160577,0.7495859476859937,0.054160344786687895,0.1933441013097763,0.906343792633015,-0.017121418826739454,0.9010726565903407,-0.018494593774283086,0.7862420370465021,-0.03665608936050835,0.05891582619647864,-0.004755481409790749,0.16634906828403473,0.026995033025741577
P3,42,random_70,0.7,157,14660,0.8916098226466576,0.8887192411352727,0.7376230410519238,0.0538968224769603,0.18679915368556976,0.906343792633015,-0.014733969986357454,0.9010726565903407,-0.012353415455068073,0.7862420370465021,-0.04861899599457831,0.05891582619647864,-0.005019003719518342,0.16634906828403473,0.020450085401535034
P3,42,marker_memory,,6,14660,0.9034106412005457,0.8986689782389135,0.766792857413636,0.05910623918857939,0.17097680270671844,0.906343792633015,-0.0029331514324693053,0.9010726565903407,-0.0024036783514272964,0.7862420370465021,-0.019449179632866076,0.05891582619647864,0.0001904129921007497,0.16634906828403473,0.004627734422683716
P3,42,marker_tcell,,15,14660,0.9034106412005457,0.8987740034872077,0.7601926509267088,0.05586588103705343,0.17078858613967896,0.906343792633015,-0.0029331514324693053,0.9010726565903407,-0.0022986531031330415,0.7862420370465021,-0.02604938611979324,0.05891582619647864,-0.0030499451594252144,0.16634906828403473,0.004439517855644226
P3,42,rna_only,1.0,224,14660,0.8854706684856753,0.8806739181480001,0.7308748971534248,0.07070704166755833,0.18806371092796326,0.906343792633015,-0.02087312414733966,0.9010726565903407,-0.020398738442340636,0.7862420370465021,-0.05536713989307729,0.05891582619647864,0.011791215471079683,0.16634906828403473,0.021714642643928528
P3,43,full,0.0,0,14660,0.9068212824010914,0.9018462620456903,0.7828311948477107,0.05643151321970586,0.16552133858203888,0.9068212824010914,0.0,0.9018462620456903,0.0,0.7828311948477107,0.0,0.05643151321970586,0.0,0.16552133858203888,0.0
