reference,comparator,metric,n_donors,reference_mean,comparator_mean,mean_difference,difference_ci95_low,difference_ci95_high,difference_ci95_margin,paired_t_pvalue,wilcoxon_pvalue,positive_donor_count,negative_donor_count,zero_donor_count
MOSAIC full,MLP matched protocol,accuracy,8,0.9119325063485666,0.9102998467234271,0.0016326596251394487,-0.0011091508149349261,0.004374470065213824,0.002741810440074375,0.20194144715269394,0.3828125,5,3,0
MOSAIC full,MLP matched protocol,weighted_f1,8,0.9107544995448474,0.9091520475701659,0.0016024519746815347,-0.0008621697808454724,0.004067073730208542,0.002464621755527007,0.16807187887448866,0.3828125,4,4,0
MOSAIC full,MLP matched protocol,macro_f1,8,0.8071927715107629,0.796079977697076,0.011112793813686947,0.006201655809168835,0.016023931818205057,0.004911138004518112,0.0010635014344713594,0.0078125,8,0,0
MOSAIC full,MLP matched protocol,balanced_accuracy,8,0.808457181995857,0.8010740097038818,0.007383172291975312,0.0013048503413891164,0.013461494242561508,0.006078321950586196,0.0239151444978132,0.0546875,7,1,0
