audit_metric,n_donors,mean,ci95_low,ci95_high
gate_above_floor_rate,8,0.9928992123417639,0.9871156541951324,0.9986827704883955
prediction_change_rate,8,0.0014914581652285153,0.0010316635388911942,0.0019512527915658364
wrong_to_correct_rate,8,0.0006296577048620695,0.00046023734869354057,0.0007990780610305984
correct_to_wrong_rate,8,0.0006063969876616955,0.0003896291304648764,0.0008231648448585147
mean_gate,8,0.02279805262178801,0.02161060105722003,0.023985504186355987
p95_gate,8,0.027580393586928584,0.024594399245481353,0.030566387928375814
mean_delta_norm,8,5.353848775593223,4.831590207109758,5.876107344076687
p95_delta_norm,8,13.450193166732788,12.935350298960747,13.965036034504829
