method,eval_mode,test_accuracy,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_macro_f1,best_val_macro_f1,best_val_weighted_f1,best_val_accuracy,selection_metric,selection_acc_tolerance,selection_weighted_tolerance,selection_constraint_penalty,selection_reference_accuracy,selection_reference_weighted_f1,ce_target_class_weight,kd_target_class_weight,ce_target_class_margin,hsr_mode,hsr_loss_weight,hsr_config,best_epoch,epochs_ran,distill_alpha,distill_temperature,adt_feature_dropout,ce_class_weight_mode,ce_class_weight_max,kd_class_weight_mode,kd_class_weight_max,domain_loss_weight,gate_temperature,head_type,device,n_train,n_val,n_test,n_genes,n_proteins,n_classes,runtime_seconds,test_donor,seed,training_adt_feature_dropout,source_path
MOSAIC_RD_v2_CB_DISTILL,full,0.911234640140433,0.9184950589172935,0.911234640140433,0.9128934141890478,0.7764457651095347,0.8334777140349784,0.9173332746859127,0.9177020769336574,constraint_macro,0.0015,0.0015,2.0,0.9176562285085508,0.9163977883212168,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",10,24,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,122863,21811,17090,3000,224,58,123.30981526523829,test_P4,42,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P4/mosaic_full_seed42/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9098303101228788,0.9203267502830268,0.9098303101228788,0.912561543524722,0.769944114353925,0.839602337221499,0.9205432507527452,0.9201778918894136,constraint_macro,0.0015,0.0015,2.0,0.9176562285085508,0.9163977883212168,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",6,20,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,122863,21811,17090,3000,224,58,105.08549889177084,test_P4,43,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P4/mosaic_full_seed43/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9148136261519416,0.91961442273828,0.9148136261519416,0.915483882179454,0.8252855128207031,0.7973395919822155,0.9040945669262282,0.9082537845916496,constraint_macro,0.0015,0.0015,2.0,0.9093144344807635,0.904697835420804,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",5,19,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,119211,20742,21811,3000,224,58,95.87706291675568,test_P5,41,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P5/mosaic_full_seed41/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9185731970106826,0.9219344439070528,0.9185731970106826,0.9183891726735812,0.8302750461520263,0.7947996593090498,0.9065714597245612,0.9108089865972424,constraint_macro,0.0015,0.0015,2.0,0.9093144344807635,0.904697835420804,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",3,17,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,119211,20742,21811,3000,224,58,88.96092024073005,test_P5,42,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P5/mosaic_full_seed42/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9138049607995964,0.9188862451832152,0.9138049607995964,0.914021827805388,0.8200115486610761,0.795431930988898,0.9044733871660146,0.9082055732330536,constraint_macro,0.0015,0.0015,2.0,0.9093144344807635,0.904697835420804,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",4,18,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,119211,20742,21811,3000,224,58,93.32362684607506,test_P5,43,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P5/mosaic_full_seed43/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9047343554141356,0.9074734657006648,0.9047343554141356,0.9019539858564094,0.7895676065130494,0.8285638541795359,0.918674334535622,0.9186347647945576,constraint_macro,0.0015,0.0015,2.0,0.9179390050635848,0.916519475202536,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",5,19,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,115151,25871,20742,3000,224,58,95.4037145189941,test_P6,41,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P6/mosaic_full_seed41/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9065181756821908,0.90805730748006,0.9065181756821908,0.9024089959032622,0.7779927388633286,0.8267930137917672,0.9201540610485024,0.9210699238529628,constraint_macro,0.0015,0.0015,2.0,0.9179390050635848,0.916519475202536,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",31,35,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,115151,25871,20742,3000,224,58,166.2036586534232,test_P6,42,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P6/mosaic_full_seed42/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.905553948510269,0.9080932447433052,0.905553948510269,0.9037149716263106,0.7834317646871952,0.8264359125897343,0.9161252640902484,0.9161609524177652,constraint_macro,0.0015,0.0015,2.0,0.9179390050635848,0.916519475202536,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",12,26,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,115151,25871,20742,3000,224,58,244.8512340877205,test_P6,43,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P6/mosaic_full_seed43/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9163928723280894,0.9216002367586584,0.9163928723280894,0.9151487970313436,0.7943082577470482,0.8332060923498629,0.901998743191099,0.9037333333333334,constraint_macro,0.0015,0.0015,2.0,0.8977142857142857,0.8937473283229632,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",2,16,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,109643,26250,25871,3000,224,58,78.9066688362509,test_P7,41,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P7/mosaic_full_seed41/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9156198059603416,0.9189169013382584,0.9156198059603416,0.9144615760040978,0.8095720906085845,0.832324319951661,0.9012871286737292,0.902552380952381,constraint_macro,0.0015,0.0015,2.0,0.8977142857142857,0.8937473283229632,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",27,35,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,109643,26250,25871,3000,224,58,159.37579024024308,test_P7,42,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P7/mosaic_full_seed42/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9177070851532604,0.9204700963276328,0.9177070851532604,0.9166635399296464,0.8164844643574637,0.8335459510919921,0.903193413457038,0.9049904761904762,constraint_macro,0.0015,0.0015,2.0,0.8977142857142857,0.8937473283229632,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",33,35,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,109643,26250,25871,3000,224,58,154.14326178468764,test_P7,43,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P7/mosaic_full_seed43/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.901904761904762,0.9038415633827768,0.901904761904762,0.9002985549373836,0.8231987954324204,0.8272508181720857,0.9085652394974326,0.908354011579818,constraint_macro,0.0015,0.0015,2.0,0.9101736972704716,0.9094579350576518,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",12,26,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,117379,18135,26250,3000,224,58,129.05662867240608,test_P8,41,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P8/mosaic_full_seed41/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.906704761904762,0.9089988030850378,0.906704761904762,0.9057866545999752,0.8130727301160681,0.8270773614675571,0.911751286046733,0.9113868210642404,constraint_macro,0.0015,0.0015,2.0,0.9101736972704716,0.9094579350576518,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",17,31,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,117379,18135,26250,3000,224,58,149.75302445329726,test_P8,42,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P8/mosaic_full_seed42/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9123809523809524,0.9148719911183232,0.9123809523809524,0.9114566937002112,0.8163912991974362,0.8329619215808892,0.9118840371199064,0.9113868210642404,constraint_macro,0.0015,0.0015,2.0,0.9101736972704716,0.9094579350576518,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",3,17,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,117379,18135,26250,3000,224,58,89.70123693905771,test_P8,43,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P8/mosaic_full_seed43/results_summary.csv
