test_donor,n_seeds,accuracy,weighted_f1,macro_f1,balanced_accuracy
P1,3,0.913574120025733,0.9130268905697444,0.8116481457735719,0.8205308213400423
P2,3,0.9120798217572411,0.910853201442476,0.8091745131917203,0.8089345416926047
P3,3,0.9058890404729422,0.899870008979507,0.7802278685668034,0.7767988113696425
P4,3,0.9112736493075873,0.9131696905354826,0.7720528791574055,0.7729913466564122
P5,3,0.9166475631562055,0.9162966995800162,0.8261634630872141,0.8321210126980088
P6,3,0.9106482820685887,0.9068309489898442,0.7861840021891392,0.7917833210328945
P7,3,0.9127208070812879,0.9125965866768885,0.8050264933317125,0.8114279583223087
P8,3,0.906057142857143,0.9045249816877079,0.8104717684703079,0.8047140303611778
