method,rna_transform,n_donors,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,weighted_f1_mean,weighted_f1_sd,weighted_f1_ci_low,weighted_f1_ci_high,macro_f1_mean,macro_f1_sd,macro_f1_ci_low,macro_f1_ci_high
MLP,cp10k_log1p,8,0.9093502160448379,0.005149099273904912,0.9050454613253655,0.9136549707643103,0.9083080834914381,0.0060606245420528355,0.9032412745773876,0.9133748924054886,0.7948520743983539,0.0214241902409304,0.7769410031323731,0.8127631456643347
MLP,log1p,8,0.9102998467234271,0.004537293048440157,0.9065065748083005,0.9140931186385537,0.9091520475701659,0.0054020494519364465,0.9046358212097811,0.9136682739305506,0.796079977697076,0.02095382772146724,0.77856213933802,0.8135978160561319
MOSAIC,cp10k_log1p,8,0.912232385905446,0.004082628688848255,0.9088192229071639,0.9156455489037281,0.9107181167550416,0.005325238418970054,0.906266106025213,0.9151701274848701,0.8087879598158023,0.019138832178628523,0.7927874957028503,0.8247884239287543
MOSAIC,log1p,8,0.9119325063485666,0.003999560917109939,0.9085887897453538,0.9152762229517794,0.9107544995448474,0.005397912213443832,0.9062417320023995,0.9152672670872953,0.8071927715107629,0.018489411935770018,0.7917352363076368,0.822650306713889
