split_column,test_group,n_train,n_test,test_fraction,label_column,n_test_labels,status,labels_absent_from_test,labels_absent_from_test_count
celltype.l3,cDC2_2,160035,1729,0.01068841027669939,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,CD4 TEM_1,160058,1706,0.010546227838085112,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,gdT_1,160131,1633,0.010094953141613709,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,NK_4,160287,1477,0.009130585297099479,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,B intermediate lambda,160433,1331,0.008228035904156673,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,CD8 TCM_2,160442,1322,0.00817239929774239,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_3,57
celltype.l3,Treg Naive,160469,1295,0.008005489478499543,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,B memory lambda,160516,1248,0.007714942756113845,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,Treg Memory,160552,1212,0.007492396330456715,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,B intermediate kappa,160664,1100,0.006800029672856755,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
